"time","GC9_PM2_5"
"2024/02/22T20:55:32z",0.61
"2024/02/22T22:14:58z",0.71
"2024/02/22T22:16:58z",0.59
"2024/02/22T22:18:58z",0.07
"2024/02/22T22:20:58z",0
"2024/02/22T22:22:58z",0.33
"2024/02/22T22:24:58z",0.08
"2024/02/22T22:26:58z",0.02
"2024/02/22T22:28:58z",0
"2024/02/22T22:30:58z",0.19
"2024/02/22T22:32:58z",0.05
"2024/02/22T22:34:38z",0
"2024/02/22T22:36:38z",0.17
"2024/02/22T22:38:38z",0
"2024/02/22T22:40:38z",0
"2024/02/22T22:42:38z",0.05
"2024/02/22T22:44:38z",0
"2024/02/22T22:46:38z",0.14
"2024/02/22T22:48:38z",0
"2024/02/22T22:50:38z",0.05
"2024/02/22T22:52:38z",0.14
"2024/02/22T22:54:18z",0
"2024/02/22T22:56:18z",0
"2024/02/22T22:58:18z",0
"2024/02/22T23:00:18z",0.02
"2024/02/22T23:02:18z",0
"2024/02/22T23:04:18z",0
"2024/02/22T23:06:18z",0.16
"2024/02/22T23:08:18z",0.86
"2024/02/22T23:10:18z",0
"2024/02/22T23:12:18z",0
"2024/02/22T23:13:58z",0.02
"2024/02/22T23:15:58z",0
"2024/02/22T23:17:58z",0.23
"2024/02/22T23:19:58z",0.02
"2024/02/22T23:21:58z",0
"2024/02/22T23:23:58z",0.03
"2024/02/22T23:25:58z",0
"2024/02/22T23:27:58z",0
"2024/02/22T23:29:58z",0
"2024/02/22T23:31:58z",0.08
"2024/02/22T23:33:38z",0
"2024/02/22T23:35:38z",0
"2024/02/22T23:37:38z",0
"2024/02/22T23:39:38z",0
"2024/02/22T23:41:38z",0
"2024/02/22T23:43:38z",0
"2024/02/22T23:45:38z",0
"2024/02/22T23:47:38z",0
"2024/02/22T23:49:38z",0
"2024/02/22T23:51:38z",0
"2024/02/22T23:53:18z",0.07
"2024/02/22T23:55:18z",0
"2024/02/22T23:57:18z",0.05
"2024/02/22T23:59:18z",0.04
"2024/02/23T00:01:18z",0
"2024/02/23T00:03:18z",0
"2024/02/23T00:05:18z",0
"2024/02/23T00:07:18z",0.11
"2024/02/23T00:09:18z",0.14
"2024/02/23T00:11:18z",0
"2024/02/23T00:12:58z",0
"2024/02/23T00:14:58z",0
"2024/02/23T00:16:58z",0
"2024/02/23T00:18:58z",0
"2024/02/23T00:20:58z",0
"2024/02/23T00:22:58z",0.07
"2024/02/23T00:24:58z",0.03
"2024/02/23T00:26:58z",0.02
"2024/02/23T00:28:58z",0.31
"2024/02/23T00:30:58z",0.02
"2024/02/23T00:32:39z",0
"2024/02/23T00:34:39z",0
"2024/02/23T00:36:39z",0
"2024/02/23T00:38:39z",0
"2024/02/23T00:40:39z",0
"2024/02/23T00:42:39z",0
"2024/02/23T00:44:39z",0
"2024/02/23T00:46:39z",0
"2024/02/23T00:48:39z",0.14
"2024/02/23T00:50:39z",0.08
"2024/02/23T01:12:00z",0.13
"2024/02/23T01:14:00z",0
"2024/02/23T01:16:00z",0.12
"2024/02/23T01:18:00z",0.31
"2024/02/23T01:20:00z",0
"2024/02/23T01:22:00z",0.34
"2024/02/23T01:24:00z",0.16
"2024/02/23T01:26:00z",0.42
"2024/02/23T01:28:00z",0.6
"2024/02/23T01:30:00z",0.73
"2024/02/23T01:31:42z",0.11
"2024/02/23T01:33:42z",0.27
"2024/02/23T01:35:42z",0.46
"2024/02/23T01:37:42z",0.27
"2024/02/23T01:39:42z",0.37
"2024/02/23T01:41:42z",1.08
"2024/02/23T01:43:42z",2.05
"2024/02/23T01:45:42z",3.09
"2024/02/23T01:47:42z",3.4
"2024/02/23T01:49:42z",3.32
"2024/02/23T01:51:22z",3.78
"2024/02/23T01:53:22z",2.56
