"UTCDateTime","mac_address","firmware_ver","hardware","current_temp_f","current_humidity","current_dewpoint_f","pressure","adc","mem","rssi","uptime","pm1_0_cf_1","pm2_5_cf_1","pm10_0_cf_1","pm1_0_atm","pm2_5_atm","pm10_0_atm","pm2#5_aqi_cf_1","pm2#5_aqi_atm","p_0_3_um","p_0_5_um","p_1_0_um","p_2_5_um","p_5_0_um","p_10_0_um","pm1_0_cf_1_b","pm2_5_cf_1_b","pm10_0_cf_1_b","pm1_0_atm_b","pm2_5_atm_b","pm10_0_atm_b","pm2#5_aqi_cf_1_b","pm2#5_aqi_atm_b","p_0_3_um_b","p_0_5_um_b","p_1_0_um_b","p_2_5_um_b","p_5_0_um_b","p_10_0_um_b","gas"
"2024/03/11T22:22:47z","d8:bc:38:84:3f:4f",7.04,"3.0+OPENLOG+31037 MB+RV3028+BME68X+PMSX003-A+PMSX003-B",78,8,13,869.35,NA,26352,0,99,0.3,1.89,2.84,0.3,1.89,2.84,8,8,208.09,61.36,13.34,6.3,1.32,1.09,0,0.14,1.8,0,0.14,1.8,1,1,226.98,66.2,10.09,4.91,1.16,0.84,NA
"2024/03/11T22:24:47z","d8:bc:38:84:3f:4f",7.04,"3.0+OPENLOG+31037 MB+RV3028+BME68X+PMSX003-A+PMSX003-B",78,8,12,869.34,0.04,26264,0,219,0.05,1,1.66,0.05,1,1.66,4,4,198.67,58.24,16.24,5.95,1.26,1.26,0,0.42,1.42,0,0.42,1.42,2,2,210.53,62.18,11.91,4.56,1.4,0.51,50.83
"2024/03/11T22:26:47z","d8:bc:38:84:3f:4f",7.04,"3.0+OPENLOG+31037 MB+RV3028+BME68X+PMSX003-A+PMSX003-B",77,8,11,869.38,0.04,26264,0,339,0.12,0.18,0.61,0.12,0.18,0.61,1,1,189.26,52.6,5.96,1.47,0.93,0.44,0,0,0.2,0,0,0.2,0,0,153.8,42.62,6.43,1.93,0.6,0.6,50
"2024/03/11T22:28:47z","d8:bc:38:84:3f:4f",7.04,"3.0+OPENLOG+31037 MB+RV3028+BME68X+PMSX003-A+PMSX003-B",79,7,11,869.44,0.04,26264,0,459,0.05,0.11,0.77,0.05,0.11,0.77,0,0,203.25,58.25,5.46,2.16,0.84,0.84,0,0,0.4,0,0,0.4,0,0,206.95,55.16,9.59,1.64,0.57,0.48,NA
"2024/03/11T22:30:47z","d8:bc:38:84:3f:4f",7.04,"3.0+OPENLOG+31037 MB+RV3028+BME68X+PMSX003-A+PMSX003-B",78,7,11,869.39,0.04,26264,0,579,0.07,0.26,0.45,0.07,0.26,0.45,1,1,181.03,53.1,4.19,0.88,0.38,0.38,0,0,0.71,0,0,0.71,0,0,239.02,64.03,8.38,1.59,0.93,0.84,50
"2024/03/11T22:32:47z","d8:bc:38:84:3f:4f",7.04,"3.0+OPENLOG+31037 MB+RV3028+BME68X+PMSX003-A+PMSX003-B",78,7,11,869.41,0.04,26264,0,699,0.12,0.68,1.03,0.12,0.68,1.03,3,3,196.58,53.56,7.41,2.61,0.75,0.56,0,0.29,1.18,0,0.29,1.18,1,1,233.04,68.21,13.12,3.09,1.48,1.25,50
"2024/03/11T22:34:47z","d8:bc:38:84:3f:4f",7.04,"3.0+OPENLOG+31037 MB+RV3028+BME68X+PMSX003-A+PMSX003-B",79,7,12,869.4,0.04,26264,0,819,0,0.64,1.5,0,0.64,1.5,3,3,169.91,46.95,8.78,2.9,1.26,1.05,0,0.02,0.4,0,0.02,0.4,0,0,159.21,47.48,7.22,2.48,0.62,0.26,50
"2024/03/11T22:36:47z","d8:bc:38:84:3f:4f",7.04,"3.0+OPENLOG+31037 MB+RV3028+BME68X+PMSX003-A+PMSX003-B",80,7,12,869.4,0.04,26264,0,939,0,0.18,1.26,0,0.18,1.26,1,1,182.89,52.67,6.75,2.04,1.37,0.93,0,0,0.16,0,0,0.16,0,0,178.86,47.24,7.81,1.31,0.57,0.24,50
"2024/03/11T22:38:47z","d8:bc:38:84:3f:4f",7.04,"3.0+OPENLOG+31037 MB+RV3028+BME68X+PMSX003-A+PMSX003-B",80,7,11,869.39,0.04,26264,0,1059,0.28,0.67,1.38,0.28,0.67,1.38,3,3,225.57,68.53,10.64,2.38,1.17,0.95,0,0.09,0.34,0,0.09,0.34,0,0,192.98,53.12,6.76,1.59,0.69,0.38,50.13
"2024/03/11T22:40:47z","d8:bc:38:84:3f:4f",7.04,"3.0+OPENLOG+31037 MB+RV3028+BME68X+PMSX003-A+PMSX003-B",80,7,11,869.39,0.04,26264,0,1179,0.17,0.51,0.73,0.17,0.51,0.73,2,2,183.76,51.86,6.97,0.68,0.29,0.29,0,0.09,0.52,0,0.09,0.52,0,0,200.52,55.02,9.34,2.29,0.82,0.41,50.28
"2024/03/11T22:42:27z","d8:bc:38:84:3f:4f",7.04,"3.0+OPENLOG+31037 MB+RV3028+BME68X+PMSX003-A+PMSX003-B",80,7,12,869.32,NA,26352,0,100,0.15,0.21,0.45,0.06,0.21,0.45,1,1,167.81,49.21,8.6,1.06,0.26,0.26,0,0,0.29,0,0,0.29,0,0,192.07,54.43,8.55,1.55,0.74,0.4,NA
"2024/03/11T22:44:27z","d8:bc:38:84:3f:4f",7.04,"3.0+OPENLOG+31037 MB+RV3028+BME68X+PMSX003-A+PMSX003-B",79,7,11,869.3,0.04,26264,0,220,0.03,0.71,1.19,0.03,0.71,1.19,3,3,191.49,54.36,9.44,0.92,0.68,0.51,0,0,0,0,0,0,0,0,161,45.68,4.61,0.86,0.28,0.05,50
"2024/03/11T22:46:27z","d8:bc:38:84:3f:4f",7.04,"3.0+OPENLOG+31037 MB+RV3028+BME68X+PMSX003-A+PMSX003-B",79,7,11,869.3,0.04,26264,0,340,0.05,0.61,0.96,0.05,0.61,0.96,3,3,198.74,56.35,5.63,1.16,0.53,0.53,0.02,0.28,0.78,0.02,0.28,0.78,1,1,276.72,78.1,10.26,1.72,0.67,0.43,50
"2024/03/11T22:48:27z","d8:bc:38:84:3f:4f",7.04,"3.0+OPENLOG+31037 MB+RV3028+BME68X+PMSX003-A+PMSX003-B",78,7,11,869.28,0.04,26264,0,460,0.3,0.68,0.95,0.3,0.68,0.95,3,3,200.57,56.54,6.88,1.55,0.41,0.41,0,0,0.22,0,0,0.22,0,0,190.95,52.47,8.75,1.45,0.87,0.2,50
"2024/03/11T22:50:27z","d8:bc:38:84:3f:4f",7.04,"3.0+OPENLOG+31037 MB+RV3028+BME68X+PMSX003-A+PMSX003-B",79,7,11,869.29,0.04,26264,0,580,0,0.39,0.49,0,0.39,0.49,2,2,163.68,47.78,5.56,1.02,0.2,0,0,0,0.18,0,0,0.18,0,0,156,41.37,6.07,1.26,0.75,0.14,50
"2024/03/11T22:52:27z","d8:bc:38:84:3f:4f",7.04,"3.0+OPENLOG+31037 MB+RV3028+BME68X+PMSX003-A+PMSX003-B",81,7,12,869.24,0.04,26264,0,700,0.14,0.41,0.52,0.14,0.41,0.52,2,2,202.91,57.55,8.5,0.59,0.24,0.24,0,0,0.02,0,0,0.02,0,0,199.16,58.23,6.51,1.11,0.32,0.32,50
"2024/03/11T22:54:27z","d8:bc:38:84:3f:4f",7.04,"3.0+OPENLOG+31037 MB+RV3028+BME68X+PMSX003-A+PMSX003-B",82,7,12,869.22,0.04,26264,0,820,0,0.25,0.56,0,0.25,0.56,1,1,147.05,40.17,7.29,1.37,0.68,0.47,0,0.08,0.17,0,0.08,0.17,0,0,220.37,59.46,7.53,1.08,0.08,0,50
"2024/03/11T22:56:27z","d8:bc:38:84:3f:4f",7.04,"3.0+OPENLOG+31037 MB+RV3028+BME68X+PMSX003-A+PMSX003-B",81,7,12,869.22,0.04,26264,0,940,0.04,0.39,0.71,0.04,0.39,0.71,2,2,170.36,51.45,8.79,1.32,0.48,0.48,0,0,0.57,0,0,0.57,0,0,209.64,60.9,8.57,1.24,1,0.66,50
"2024/03/11T22:58:27z","d8:bc:38:84:3f:4f",7.04,"3.0+OPENLOG+31037 MB+RV3028+BME68X+PMSX003-A+PMSX003-B",80,7,12,869.25,0.04,26264,0,1060,0.03,0.17,0.34,0.03,0.17,0.34,1,1,194.84,57.43,9.1,1.24,0.43,0,0,0,1.08,0,0,1.08,0,0,200.85,57.41,10.25,2.47,2.1,0.44,50.23
"2024/03/11T23:00:27z","d8:bc:38:84:3f:4f",7.04,"3.0+OPENLOG+31037 MB+RV3028+BME68X+PMSX003-A+PMSX003-B",80,7,12,869.2,0.04,26264,0,1180,0.15,0.37,0.71,0.15,0.37,0.71,2,2,186.92,52.03,7.44,1.29,0.46,0.46,0,0,0.84,0,0,0.84,0,0,219.48,60.48,6.93,2.54,1.48,0.75,50.35
