,GC-1,GC-2,GC-3,GC-4,GC-5,GC-6,GC-7,GC-8
67,1.017,0.927,0.54,0.143,0.6950000000000001,0.395,1.094,0.996
68,0.5549999999999999,0.8069999999999999,0.4349999999999999,0.191,0.569,0.299,0.95,0.974
69,0.434,0.845,0.249,0.068,0.5509999999999999,0.282,0.934,0.8714999999999999
70,0.3349999999999999,0.839,0.388,0.217,0.4559999999999999,0.325,0.8580000000000001,0.8734999999999999
71,0.503,0.5,0.696,0.212,0.407,0.251,0.7969999999999999,0.875
72,0.434,0.5589999999999999,0.722,0.0775,0.4519999999999999,0.37,0.825,1.0165
73,0.486,0.3429999999999999,0.282,0.038,0.353,0.221,0.889,2.988
74,0.398,0.303,0.452,0.026,0.475,0.292,0.865,1.92
75,0.519,0.369,0.3429999999999999,0.089,0.581,0.198,0.8300000000000001,1.032
76,0.712,0.492,0.149,0.016,0.43,0.29,0.91,0.905
77,0.497,0.305,0.179,0.09,0.386,0.222,0.7030000000000001,1.0910000000000002
78,0.453,0.322,0.302,0.036,0.51,0.175,1.222,1.033
79,0.515,0.445,0.079,0.134,0.413,0.178,2.9210000000000003,0.879
80,0.8200000000000001,0.3419999999999999,0.248,0.139,0.457,0.085,1.435,1.122
81,0.784,0.4579999999999999,0.241,0.095,0.8009999999999999,0.17,0.8049999999999999,1.215
82,0.812,0.452,0.144,0.102,0.907,0.111,0.954,1.1789999999999998
83,0.934,0.541,0.1709999999999999,0.016,0.696,0.209,0.7925,1.143
84,0.986,0.79,0.098,0.0559999999999999,0.5730000000000001,0.155,0.7935000000000001,0.957
85,1.4489999999999998,0.5549999999999999,0.173,0.247,0.7310000000000001,0.061,0.7985,0.876
86,0.966,0.373,0.119,0.077,0.673,0.114,0.8260000000000001,0.625
87,0.771,0.403,0.211,0.037,0.867,0.152,1.137,0.632
88,0.922,0.587,0.139,0.053,0.755,0.147,1.199,0.391
89,0.963,0.417,0.318,0.055,0.926,0.102,0.95,0.4629999999999999
90,0.906,0.312,0.396,0.045,0.954,0.102,1.04,0.182
91,0.595,0.113,0.536,0.016,0.905,0.151,0.868,0.283
92,0.363,0.355,0.272,0.0,0.602,0.088,0.792,0.141
93,0.496,0.563,0.334,0.0,0.651,0.113,0.618,0.0579999999999999
94,0.678,0.38,0.267,0.065,0.508,0.097,0.47,0.077
95,0.334,0.388,1.017,0.041,0.46,0.031,0.4499999999999999,0.162
96,0.189,0.305,0.383,0.026,0.429,0.111,0.403,0.16
97,0.209,0.2309999999999999,0.5425,0.065,0.495,0.008,0.225,0.227
98,0.153,0.334,0.418,0.059,0.93,0.072,0.176,0.104
99,0.182,0.31,0.1525,0.121,0.863,0.079,0.265,0.196
100,0.21,0.3339999999999999,0.3435,0.06,0.748,0.081,0.145,0.115
101,0.255,0.429,0.39,0.013,0.443,0.05,0.245,0.258
102,0.17,0.219,0.128,0.002,0.355,0.663,0.128,0.251
103,0.259,0.276,0.254,0.018,0.395,0.987,0.245,0.192
104,0.437,0.155,0.1925,0.004,0.488,1.014,0.209,0.117
105,1.03,0.1709999999999999,0.5165,0.0,0.567,0.877,0.211,0.284
106,0.696,0.181,0.242,0.0,0.474,0.797,0.1619999999999999,0.243
107,0.7010000000000001,0.104,0.3165,0.0139999999999999,0.366,0.75,0.098,0.233
108,0.459,0.188,0.278,0.023,0.431,0.59,0.102,0.246
109,0.3359999999999999,0.115,0.202,0.0,0.473,0.538,0.252,0.151
110,0.4449999999999999,0.21,0.2309999999999999,0.0,0.3399999999999999,0.365,0.314,0.214
111,1.036,0.179,0.132,0.014,0.504,0.395,0.358,0.271
112,2.944,0.188,0.5900000000000001,0.0,0.418,0.388,0.175,0.214
113,13.513,0.212,0.254,0.002,0.564,0.414,0.285,0.212
114,4.259,0.185,0.199,0.0,0.605,0.434,0.359,0.231
115,1.705,0.4559999999999999,0.074,0.003,0.656,0.281,0.309,0.142
116,2.656,0.525,0.269,0.0,0.662,0.336,0.3359999999999999,0.087
117,4.448,0.51,0.267,0.0,0.8665,0.332,0.245,0.193
118,1.951,0.211,0.277,0.027,0.6255,0.131,0.191,0.172
119,1.285,0.287,0.153,0.067,0.8280000000000001,0.297,0.29,0.04
120,1.188,0.456,0.074,0.012,0.656,0.315,0.21,0.131
121,6.888,0.24,0.094,0.004,0.5780000000000001,0.226,0.198,0.158
122,2.192,0.103,0.1689999999999999,0.0,0.44,0.209,0.25,0.161
123,1.634,0.105,0.243,0.017,0.519,0.267,0.1169999999999999,0.157
124,1.416,0.103,0.237,0.037,0.506,0.253,0.212,0.116
125,2.406,0.039,0.271,0.0,0.341,0.169,0.153,0.1159999999999999
126,2.044,0.085,0.175,0.0,0.401,0.194,0.225,0.177
127,3.565,0.089,0.064,0.0,0.466,0.13,0.074,0.18
128,3.4450000000000003,0.104,0.15,0.017,0.618,0.199,0.0549999999999999,0.25
129,0.119,0.134,0.2789999999999999,0.0,0.389,0.168,0.181,0.275
130,0.09,0.086,0.088,0.011,0.437,0.135,0.157,0.241
131,0.104,0.054,0.1169999999999999,0.0,0.36,0.102,0.221,0.218
132,0.054,0.073,0.147,0.05,0.495,0.161,0.281,0.219
133,0.019,0.017,0.135,0.014,0.379,0.166,0.286,0.161
134,0.035,0.0849999999999999,0.239,0.018,0.394,0.094,0.2289999999999999,0.294
135,0.0499999999999999,0.0949999999999999,0.225,0.03,0.248,0.12,0.2329999999999999,0.137
136,0.002,0.092,0.389,0.002,0.374,0.083,0.391,8.186
137,0.046,0.1649999999999999,0.182,0.0,0.311,0.106,0.401,20.97
138,0.058,0.072,0.356,0.018,0.359,0.076,0.31,7.127
139,0.037,0.055,0.259,0.018,0.256,0.047,0.399,0.8400000000000001
140,0.012,0.192,0.416,0.0,0.124,0.088,0.331,6.946000000000001
141,0.024,0.062,0.533,0.0,0.347,0.0975,0.288,1.186
142,0.088,0.182,0.401,0.03,0.205,0.074,0.2179999999999999,0.514
143,0.0209999999999999,0.153,0.606,0.023,0.2,0.084,0.215,3.572
144,0.031,0.151,1.119,0.04,0.2029999999999999,0.104,7.4,4.241
145,0.032,0.19,0.4669999999999999,0.585,0.205,0.019,0.625,2.137
146,0.019,0.181,0.255,0.626,0.317,0.0925,2.152,0.029
147,0.071,0.11,0.464,0.503,0.314,0.331,5.323,0.0
148,0.025,0.21,0.516,0.632,0.3329999999999999,0.3125,1.372,0.048
149,0.028,0.221,0.471,0.5349999999999999,0.439,0.319,5.438000000000001,0.099
150,0.059,0.136,0.194,0.494,0.289,0.202,2.365,0.147
151,0.044,0.108,0.4569999999999999,0.593,0.385,0.315,6.037,0.049
152,0.383,0.27,0.786,0.471,0.3429999999999999,0.3229999999999999,6.167999999999999,0.212
153,2.936,0.22,2.336,0.516,0.382,6.982,3.991,0.1164999999999999
154,0.194,0.212,0.218,0.384,0.491,15.402,5.198,0.179
155,0.046,0.173,0.439,0.345,0.426,1.733,0.798,0.181
156,0.018,0.1625,0.268,0.36,0.284,0.859,0.18,0.261
157,0.045,0.199,0.661,0.497,0.419,3.391,0.1699999999999999,0.132
158,0.084,0.1119999999999999,0.592,0.3409999999999999,0.367,5.606999999999999,0.301,1.276
159,0.177,0.099,0.51,0.629,0.3255,0.15,0.196,0.628
160,0.067,0.319,0.496,0.611,0.5115000000000001,0.294,0.243,0.407
161,0.306,0.182,1.053,0.4629999999999999,0.6499999999999999,0.211,0.273,0.297
162,0.026,0.144,0.518,0.651,0.716,0.254,0.169,0.388
163,0.075,0.159,0.876,0.49,0.362,0.1089999999999999,0.365,1.34
164,0.042,0.132,0.6,0.6579999999999999,0.4549999999999999,0.2339999999999999,1.521,3.86
165,0.045,0.137,2.243,0.6479999999999999,0.581,0.177,0.584,1.146
166,0.098,0.085,0.508,0.753,0.3775,0.2289999999999999,0.408,0.623
167,0.079,0.089,0.798,0.431,0.413,0.208,0.3389999999999999,0.6679999999999999
168,0.101,0.163,0.219,0.4009999999999999,0.336,0.225,0.353,0.2339999999999999
169,0.076,0.187,1.263,0.514,0.4489999999999999,0.088,1.386,0.473
170,0.114,0.272,0.224,0.379,0.432,0.037,3.761,0.533
171,0.153,0.251,0.313,0.267,0.386,0.1139999999999999,1.227,0.1659999999999999
172,0.3399999999999999,0.239,0.2329999999999999,0.296,0.3319999999999999,0.097,0.387,0.138
173,0.335,0.119,0.789,0.156,0.49,0.086,0.654,0.138
174,0.777,0.146,0.332,0.249,0.482,0.073,0.1649999999999999,0.112
175,0.4609999999999999,0.216,0.564,0.2229999999999999,0.5619999999999999,0.094,0.37,0.126
176,0.354,0.095,0.263,0.161,0.612,0.053,0.513,0.138
177,0.111,0.1699999999999999,0.776,0.173,0.552,0.191,0.202,0.133
178,0.216,0.143,0.395,0.155,1.022,0.706,0.205,0.0829999999999999
179,0.153,0.192,0.446,0.2239999999999999,0.966,0.88,0.131,4.907
180,0.118,0.16,0.455,0.162,0.836,0.944,0.139,5.35
181,0.213,0.128,0.269,0.1959999999999999,0.873,4.586,0.177,0.133
182,0.163,0.232,0.285,0.162,0.893,2.722,0.132,0.215
183,0.456,0.204,0.296,0.162,0.762,7.761,0.059,0.148
184,0.065,0.212,0.5489999999999999,0.158,0.873,4.644,0.114,0.092
185,0.29,0.191,0.238,0.168,0.826,6.521,5.237,0.145
186,0.19,0.255,0.354,0.129,0.741,2.906,6.101,0.109
187,0.265,0.238,0.5880000000000001,0.185,0.952,1.378,0.098,0.147
188,0.349,0.155,0.283,0.158,1.062,1.349,0.125,0.1709999999999999
189,0.174,0.208,0.309,0.115,1.164,1.38,0.108,0.108
190,0.19,0.143,0.355,0.1,1.346,2.321,0.127,0.076
191,0.199,0.241,0.426,0.143,1.333,1.211,0.103,0.144
192,0.184,0.102,0.38,0.181,1.1469999999999998,3.935,0.104,0.061
193,0.189,0.049,0.501,0.172,1.1840000000000002,4.165,0.131,0.12
194,0.16,0.199,0.597,0.147,0.994,1.431,0.1159999999999999,0.118
195,0.289,0.198,1.474,0.1325,1.055,5.041,0.131,0.242
196,0.211,0.162,1.1989999999999998,0.092,0.889,0.987,0.103,0.189
197,0.288,0.1389999999999999,0.312,0.215,0.902,0.773,0.137,0.129
198,0.215,0.242,0.318,0.3289999999999999,0.774,0.6020000000000001,0.126,0.101
199,0.742,0.292,0.226,0.293,0.7050000000000001,0.478,0.086,0.206
200,0.173,0.191,0.237,0.413,0.651,0.276,0.1669999999999999,0.164
201,0.246,0.248,0.267,0.4185,0.777,0.229,0.134,0.18
202,0.428,0.305,0.276,0.438,0.6990000000000001,0.2279999999999999,0.1,0.127
203,0.3379999999999999,0.282,0.24,0.562,0.7010000000000001,0.196,0.096,0.185
204,0.202,0.385,0.253,0.373,0.738,0.321,0.156,0.099
205,0.1609999999999999,0.243,0.404,0.511,0.8029999999999999,0.261,0.129,0.298
206,0.147,0.277,0.294,0.593,0.645,0.436,0.064,0.201
207,0.121,0.3299999999999999,0.25,0.4559999999999999,0.881,0.478,0.087,0.208
208,0.017,0.558,0.3429999999999999,0.797,0.6539999999999999,0.632,0.131,0.275
209,0.097,0.374,0.216,0.741,0.708,0.574,0.1,0.262
210,0.164,0.409,2.191,0.651,0.44,0.78,0.14,0.203
211,0.142,0.374,0.2179999999999999,0.544,0.581,0.6619999999999999,0.1159999999999999,0.261
212,0.332,0.25,0.194,0.521,0.613,0.78,0.132,0.365
213,0.203,0.367,0.1169999999999999,0.582,0.5660000000000001,0.704,0.161,0.255
214,0.305,0.349,0.157,0.7949999999999999,0.6619999999999999,0.755,0.163,0.372
215,0.312,0.5409999999999999,0.388,0.8240000000000001,0.7989999999999999,0.762,0.1399999999999999,0.334
216,0.806,0.3419999999999999,0.269,0.673,0.8480000000000001,0.658,0.169,0.469
217,0.454,0.368,0.204,0.554,0.773,0.766,0.274,0.332
218,0.7170000000000001,0.453,0.155,0.7815000000000001,0.768,0.905,0.359,0.482
219,0.7989999999999999,0.649,0.212,0.875,0.6719999999999999,0.8200000000000001,0.275,0.419
220,0.402,0.417,0.251,0.7909999999999999,0.772,0.8915,0.331,0.501
221,0.224,0.444,0.186,0.556,0.588,0.9685,0.385,0.473
222,0.263,0.2769999999999999,0.153,0.5940000000000001,0.6579999999999999,1.081,0.293,0.414
223,0.348,0.47,0.24,0.472,0.815,0.833,0.397,0.419
224,0.269,0.374,0.318,0.698,0.795,0.946,0.244,0.419
225,0.18,0.2515,0.15,0.721,0.8280000000000001,0.97,0.383,0.351
226,0.235,0.448,0.043,0.772,0.63,0.916,0.181,0.391
227,0.224,0.435,0.018,0.494,0.758,1.012,0.267,0.3259999999999999
228,0.369,0.326,0.011,0.6339999999999999,0.8360000000000001,0.915,0.4569999999999999,0.478
229,0.351,0.449,0.047,0.6799999999999999,0.8320000000000001,1.035,0.317,0.269
230,0.4359999999999999,0.387,0.36,0.747,0.831,0.792,0.428,0.283
231,0.456,0.278,0.178,0.609,0.857,1.032,0.238,0.254
232,0.347,0.193,0.038,0.592,0.806,3.082,0.53,0.4649999999999999
233,0.4485,0.351,0.03,0.7030000000000001,0.742,2.104,0.3399999999999999,0.409
234,0.461,0.249,0.155,0.611,0.5840000000000001,0.921,0.312,0.368
235,0.542,0.25,0.009,0.8140000000000001,0.671,1.17,0.363,0.307
236,0.428,0.139,0.058,0.704,0.783,0.923,0.376,0.311
237,0.4669999999999999,0.185,0.007,0.631,0.733,0.995,0.3429999999999999,0.211
238,0.4679999999999999,0.03,0.0,0.657,0.762,0.934,0.276,0.14
239,0.353,0.024,0.0,0.563,0.78,0.984,0.3399999999999999,0.3419999999999999
240,0.335,0.152,0.0,0.6859999999999999,0.914,1.27,0.395,0.164
241,0.274,0.127,0.018,0.742,0.817,1.245,0.174,0.149
242,0.241,0.182,0.426,0.745,0.666,1.137,0.276,0.125
243,0.209,0.154,0.026,0.731,0.749,1.168,0.141,0.059
244,0.465,0.118,0.0,0.7789999999999999,0.778,0.884,0.194,0.037
245,0.401,0.0819999999999999,0.031,0.73,0.815,0.5880000000000001,0.284,0.113
246,0.271,0.041,0.004,0.696,0.936,0.505,0.303,0.021
247,0.365,0.035,0.0,0.813,1.079,0.306,0.302,0.002
248,0.378,0.011,0.0,0.778,0.872,0.524,0.071,0.02
249,0.367,0.0,0.0,0.74,0.849,0.424,0.0,0.007
250,0.442,0.016,0.0,0.7829999999999999,0.839,0.26,0.01,0.073
251,0.321,0.0,0.074,0.881,0.7789999999999999,0.294,0.111,0.015
252,0.4609999999999999,0.0,0.043,0.943,0.746,0.17,0.036,0.007
253,0.261,0.0,0.0829999999999999,0.846,0.9,0.194,0.0279999999999999,0.0
254,0.29,0.009,0.371,0.8320000000000001,0.851,0.095,0.011,0.023
255,0.28,0.0,0.0,0.8240000000000001,0.863,0.121,0.0349999999999999,0.004
256,0.208,0.0,0.0,2.4370000000000003,0.794,0.207,0.0269999999999999,0.014
257,0.195,0.0,0.011,0.817,0.859,0.201,0.0,0.0139999999999999
258,0.153,0.0,0.021,0.998,0.975,0.181,0.021,0.0
259,0.087,0.0,0.017,1.134,0.967,0.215,0.048,0.0
260,0.04,0.022,0.065,1.15,0.617,0.125,0.023,0.002
261,0.0,0.003,0.003,1.025,0.653,0.184,0.009,0.006
262,0.0,0.0,0.045,1.21,0.5640000000000001,0.169,0.0,0.009
263,0.003,0.0,0.007,1.231,0.484,0.224,0.0209999999999999,0.005
264,0.0,0.057,0.017,1.262,0.74,0.244,0.045,0.03
265,0.008,0.0,0.0,1.2480000000000002,0.648,0.199,0.0209999999999999,0.054
266,0.01,0.0,0.014,1.294,0.77,0.168,0.012,0.046
267,0.0,0.0,0.03,1.155,0.555,0.1999999999999999,0.053,0.024
268,0.023,0.023,0.123,1.238,0.6,0.171,0.033,0.013
269,0.0,0.0,0.017,0.968,1.088,0.118,0.014,0.045
270,0.014,0.044,0.0,1.1920000000000002,0.753,0.203,0.017,0.02
271,0.0,0.023,0.0,1.042,0.743,0.093,0.0,0.03
272,0.0,0.02,0.025,0.742,0.767,0.086,0.014,0.008
273,0.009,0.0,0.0,0.798,0.638,0.158,0.02,0.028
274,0.047,0.002,0.022,0.8,0.8819999999999999,0.15,0.055,0.011
275,0.005,0.018,0.0,0.934,0.649,0.108,0.024,0.003
276,0.005,0.029,0.0,0.93,0.808,0.108,0.016,0.012
277,0.103,0.0,0.049,0.823,0.896,0.153,0.069,0.016
278,0.024,0.005,0.045,0.825,0.6709999999999999,0.071,0.073,0.034
279,0.0,0.015,0.023,0.81,0.837,0.043,0.052,0.038
280,0.039,0.02,0.025,0.977,1.299,0.098,0.03,10.507
281,0.022,0.0,0.019,0.794,1.152,0.075,0.009,10.048
282,0.009,0.003,0.0,0.7909999999999999,1.277,0.055,0.0209999999999999,5.384
283,0.007,0.0,0.0,0.78,1.392,0.031,0.044,1.318
284,0.0279999999999999,0.0,0.017,0.655,2.091,0.048,0.032,0.018
285,0.042,0.0,0.022,0.552,2.048,0.201,0.023,11.24
286,0.055,0.022,0.0,0.497,1.661,0.161,0.004,5.6930000000000005
287,0.026,0.0,0.0,0.6900000000000001,1.72,0.16,0.009,0.709
288,0.0,0.093,0.101,0.683,1.458,0.113,9.716,3.327
289,0.009,0.0,0.007,0.535,1.147,0.155,1.974,0.609
290,0.0,0.0,0.459,0.613,1.014,0.229,2.569,0.0
291,0.014,0.0,0.005,0.678,0.762,0.18,3.526,0.009
292,0.012,0.0,0.0,0.417,0.913,0.166,2.215,0.0
293,0.009,0.019,0.025,0.451,0.508,0.157,1.635,0.0
294,0.02,0.031,0.019,0.6519999999999999,0.367,0.145,5.839,0.0
295,0.017,0.0,0.0,0.496,0.155,0.124,3.829,0.009
296,0.0209999999999999,0.0,0.0,0.483,0.2279999999999999,0.083,3.3200000000000003,0.0
297,0.0,0.0,0.052,0.369,0.19,6.6690000000000005,3.702,0.0
298,0.025,0.0,0.099,0.513,0.122,1.504,4.603,0.0
299,0.0,0.012,0.0,0.179,0.088,0.0,0.095,0.014
300,0.0,0.0,0.018,0.041,0.074,1.491,0.002,0.0
301,0.0,0.0,0.0,0.154,0.106,8.396,0.016,0.0
302,0.008,0.0,0.018,0.2215,0.237,2.181,0.035,0.0
303,0.0,0.0,0.025,0.118,0.413,0.173,0.0,0.0
304,0.0,0.02,0.0,0.208,0.525,0.101,0.017,0.0
305,0.0,0.009,0.0,0.222,0.511,0.427,0.008,0.0
306,0.0,0.025,0.011,0.178,0.4569999999999999,0.336,0.022,0.0
307,0.0,0.0,0.0,0.09,0.357,0.211,0.0,0.0
308,0.0,0.0,0.035,0.176,0.59,0.2239999999999999,0.0,0.0
309,0.012,0.0,0.0,0.118,0.8340000000000001,0.192,0.0,0.0
310,0.0,0.0,0.0,0.127,0.8069999999999999,0.293,0.0,0.0
311,0.0,0.0,0.307,0.134,0.866,0.308,0.027,0.0
312,0.0,0.0,0.026,0.168,0.954,0.304,0.0,0.016
313,0.0,0.0,0.018,0.166,1.526,0.184,0.0,0.0
314,0.0,0.008,0.0,0.267,1.4540000000000002,0.218,0.0,0.034
315,0.023,0.014,0.007,0.223,1.4489999999999998,0.199,0.0,0.0
316,0.0,0.0,0.0,0.214,1.53,0.19,0.0,0.0
317,0.0,0.0,0.0,0.221,1.5710000000000002,1.211,0.0,0.0
318,0.016,0.0564999999999999,0.0,0.1685,1.5619999999999998,0.331,0.0,0.0
319,0.0,0.0,0.026,0.188,1.166,0.252,0.0,0.009
320,0.0,0.009,0.0,0.117,1.042,0.211,0.0,0.0
321,0.0,0.0,0.017,0.126,0.936,0.108,0.007,0.006
322,0.0,0.0,0.0,0.229,1.344,1.024,0.0,0.0
323,0.0,0.0,0.0,0.108,1.594,3.2960000000000003,0.022,0.014
324,0.0,0.0,0.018,0.172,1.524,0.914,0.0,0.022
325,0.0,0.023,5.252,0.163,1.452,0.317,0.0,0.033
326,0.0,0.0,1.99,0.126,1.44,0.413,0.0,0.024
327,0.0,0.0,0.137,0.129,1.392,0.165,0.0,0.0
328,0.019,0.0,0.0,0.131,0.981,0.373,0.0,0.0
329,0.0,0.0,0.237,0.203,0.852,0.33,0.003,0.0
330,0.0,0.0,0.123,0.191,0.436,0.185,0.0,0.005
331,0.0,0.026,0.128,0.199,1.128,0.083,0.0,0.0
332,0.0,0.0,0.009,0.19,1.507,0.07,0.0,0.004
333,0.0,0.0,0.0,0.182,1.546,0.034,0.017,0.0
334,0.0,0.0,0.0799999999999999,0.283,1.676,0.04,0.012,0.0
335,0.0,0.0,0.402,0.346,1.7080000000000002,0.042,0.0,0.0
336,0.032,0.0,0.6,0.191,1.554,0.086,0.0,0.0
337,0.0,0.0,0.383,0.2289999999999999,1.444,0.121,0.04,0.016
338,0.014,0.008,0.168,0.197,1.0750000000000002,4.55,0.0,0.019
339,0.0,0.0,0.155,0.173,1.194,5.995,0.0,0.017
340,0.0,0.0,1.326,0.2209999999999999,1.318,0.06,0.0,0.032
341,0.007,0.038,4.904999999999999,0.2299999999999999,1.099,0.068,0.0,0.014
342,0.0,0.0,0.207,0.2299999999999999,1.376,0.204,0.0,0.004
343,0.0,0.0,0.098,0.462,1.1989999999999998,0.105,0.0,0.024
344,0.025,0.0,0.069,0.279,0.85,0.059,0.0,0.0
345,0.018,0.0,0.108,0.423,0.804,0.185,0.02,0.005
346,0.014,0.0,0.0839999999999999,0.498,0.964,0.148,0.009,0.0
347,0.077,0.022,0.151,0.6779999999999999,1.029,0.156,0.01,0.0
348,0.0,0.0,0.149,1.401,1.17,0.179,0.0,0.015
349,0.009,0.0,0.063,1.675,0.976,0.201,0.0,0.0
350,0.022,0.0,0.0829999999999999,1.42,1.062,0.2249999999999999,0.0,0.023
351,0.019,0.0,0.026,1.4169999999999998,1.204,0.175,0.0,0.0
352,0.031,0.0,0.016,1.812,1.428,0.238,0.0,0.007
353,0.009,0.025,0.016,1.296,1.516,0.123,0.0,0.0
354,0.0,0.0,0.027,1.1,1.773,0.145,0.0,0.0
355,0.0,0.0,0.003,1.065,1.551,0.181,0.0,0.0
356,0.028,0.0,0.108,1.151,1.779,0.066,0.016,0.0
357,0.135,0.0,0.015,1.125,1.749,0.203,0.034,0.017
358,0.014,0.0,0.05,1.211,1.823,0.141,0.022,0.0
359,0.003,0.0,0.023,1.261,2.006,0.067,0.0,0.026
360,0.042,0.0,0.008,0.986,1.923,0.1639999999999999,0.0,0.0
361,0.0,0.0,0.0,0.813,1.769,0.137,0.018,0.0
362,0.018,0.0,0.02,0.5335,1.808,0.162,0.0,0.0279999999999999
363,0.37,0.038,0.0,0.602,1.719,0.169,0.0,0.0
364,0.308,0.426,0.027,0.633,1.717,0.25,0.0,0.0
365,0.132,1.607,0.019,0.549,1.715,0.244,0.007,0.02
