"UTCDateTime","mac_address","firmware_ver","hardware","current_temp_f","current_humidity","current_dewpoint_f","pressure","adc","mem","rssi","uptime","pm1_0_cf_1","pm2_5_cf_1","pm10_0_cf_1","pm1_0_atm","pm2_5_atm","pm10_0_atm","pm2#5_aqi_cf_1","pm2#5_aqi_atm","p_0_3_um","p_0_5_um","p_1_0_um","p_2_5_um","p_5_0_um","p_10_0_um","pm1_0_cf_1_b","pm2_5_cf_1_b","pm10_0_cf_1_b","pm1_0_atm_b","pm2_5_atm_b","pm10_0_atm_b","pm2#5_aqi_cf_1_b","pm2#5_aqi_atm_b","p_0_3_um_b","p_0_5_um_b","p_1_0_um_b","p_2_5_um_b","p_5_0_um_b","p_10_0_um_b","gas"
"2024/02/22T22:14:46z","d8:bc:38:84:63:95",7.04,"3.0+OPENLOG+31037 MB+RV3028+BME68X+PMSX003-A+PMSX003-B",77,13,23,877.17,NA,26352,0,100,0.04,0.27,1.2,0.04,0.27,1.2,1,1,146.73,41.8,8.31,3.87,0,0,0,0.72,0.74,0,0.72,0.74,3,3,162.14,45.35,6.4,3.28,0,0,NA
"2024/02/22T22:16:46z","d8:bc:38:84:63:95",7.04,"3.0+OPENLOG+31037 MB+RV3028+BME68X+PMSX003-A+PMSX003-B",79,12,22,877.17,0.02,26264,0,220,0,0.22,0.56,0,0.22,0.56,1,1,132,37.93,8.81,2.44,0.22,0,0,0.39,0.66,0,0.39,0.66,2,2,160.71,44.71,7.52,2.48,0.23,0.23,50
"2024/02/22T22:18:46z","d8:bc:38:84:63:95",7.04,"3.0+OPENLOG+31037 MB+RV3028+BME68X+PMSX003-A+PMSX003-B",79,11,21,877.09,0.02,26264,0,340,0,0,0.02,0,0,0.02,0,0,115.66,32.57,3.6,0.84,0.41,0.19,0,0,0,0,0,0,0,0,131.05,38.25,4.87,0.28,0,0,50
"2024/02/22T22:20:46z","d8:bc:38:84:63:95",7.04,"3.0+OPENLOG+31037 MB+RV3028+BME68X+PMSX003-A+PMSX003-B",79,11,21,877.05,0.02,26264,0,460,0,0,0,0,0,0,0,0,138.75,36.25,2.64,0,0,0,0,0,0,0,0,0,0,0,143.44,39.24,4.17,0.08,0,0,NA
"2024/02/22T22:22:46z","d8:bc:38:84:63:95",7.04,"3.0+OPENLOG+31037 MB+RV3028+BME68X+PMSX003-A+PMSX003-B",78,11,20,877.02,0.02,26264,0,580,0,0.15,0.39,0,0.15,0.39,1,1,138.71,37.05,5.39,0.69,0.27,0,0.12,0.3,0.79,0.12,0.3,0.79,1,1,144.11,43.37,7.3,1.61,0.72,0.46,50
"2024/02/22T22:24:46z","d8:bc:38:84:63:95",7.04,"3.0+OPENLOG+31037 MB+RV3028+BME68X+PMSX003-A+PMSX003-B",80,11,22,877.1,0.02,26264,0,700,0,0.13,0.4,0,0.13,0.4,1,1,153.6,40.28,4.73,0.6,0.4,0,0,0.02,0.5,0,0.02,0.5,0,0,157.12,43.98,5.98,0.96,0.75,0.55,50
"2024/02/22T22:26:46z","d8:bc:38:84:63:95",7.04,"3.0+OPENLOG+31037 MB+RV3028+BME68X+PMSX003-A+PMSX003-B",80,11,20,877.13,0.02,26264,0,820,0,0,0.08,0,0,0.08,0,0,112.47,31.92,3.17,0.44,0.2,0.2,0,0,0.32,0,0,0.32,0,0,115.68,30.46,3.75,0.9,0.39,0.2,50
"2024/02/22T22:28:46z","d8:bc:38:84:63:95",7.04,"3.0+OPENLOG+31037 MB+RV3028+BME68X+PMSX003-A+PMSX003-B",80,11,21,877.12,0.02,26264,0,940,0,0.02,0.02,0,0.02,0.02,0,0,112.34,31.88,2.89,0.12,0,0,0,0,0.32,0,0,0.32,0,0,142.12,37.95,3.02,0.85,0.64,0.24,50
"2024/02/22T22:30:46z","d8:bc:38:84:63:95",7.04,"3.0+OPENLOG+31037 MB+RV3028+BME68X+PMSX003-A+PMSX003-B",80,11,20,877.05,0.02,26264,0,1060,0,0.12,0.25,0,0.12,0.25,0,0,112.63,31.56,3.54,1.29,0.22,0.22,0,0.12,0.17,0,0.12,0.17,0,0,123.86,33.78,5.76,0.69,0.25,0.25,50
"2024/02/22T22:32:46z","d8:bc:38:84:63:95",7.04,"3.0+OPENLOG+31037 MB+RV3028+BME68X+PMSX003-A+PMSX003-B",77,11,19,876.98,0.02,26264,0,1180,0,0.08,0.22,0,0.08,0.22,0,0,141.71,36.2,4.39,0.76,0.19,0.19,0,0.02,0.2,0,0.02,0.2,0,0,114.38,30.96,2.59,0.18,0.18,0.18,50
