"UTCDateTime","mac_address","firmware_ver","hardware","current_temp_f","current_humidity","current_dewpoint_f","pressure","adc","mem","rssi","uptime","pm1_0_cf_1","pm2_5_cf_1","pm10_0_cf_1","pm1_0_atm","pm2_5_atm","pm10_0_atm","pm2#5_aqi_cf_1","pm2#5_aqi_atm","p_0_3_um","p_0_5_um","p_1_0_um","p_2_5_um","p_5_0_um","p_10_0_um","pm1_0_cf_1_b","pm2_5_cf_1_b","pm10_0_cf_1_b","pm1_0_atm_b","pm2_5_atm_b","pm10_0_atm_b","pm2#5_aqi_cf_1_b","pm2#5_aqi_atm_b","p_0_3_um_b","p_0_5_um_b","p_1_0_um_b","p_2_5_um_b","p_5_0_um_b","p_10_0_um_b","gas"
"2024/03/11T22:22:45z","48:3f:da:c9:83:51",7.04,"3.0+OPENLOG+31037 MB+RV3028+BME68X+PMSX003-A+PMSX003-B",77,9,15,868.84,NA,26352,0,100,0.07,1.11,1.61,0.07,1.11,1.61,5,5,182.86,51.73,10.89,4.14,0.57,0.09,0.41,1.57,2.32,0.41,1.57,2.32,7,7,214.7,64.95,14.61,4.64,1.3,0.64,NA
"2024/03/11T22:24:45z","48:3f:da:c9:83:51",7.04,"3.0+OPENLOG+31037 MB+RV3028+BME68X+PMSX003-A+PMSX003-B",77,9,14,868.83,0.01,26264,0,220,0.09,1.1,1.71,0.09,1.1,1.71,5,5,207.98,61.66,12.43,4.95,1.02,0.72,0.02,0.43,1.82,0.02,0.43,1.82,2,2,220.23,65.95,11.04,3.73,2.36,0.61,50
"2024/03/11T22:26:45z","48:3f:da:c9:83:51",7.04,"3.0+OPENLOG+31037 MB+RV3028+BME68X+PMSX003-A+PMSX003-B",77,9,14,868.93,0.01,26264,0,340,0,0.19,0.98,0,0.19,0.98,1,1,175.74,49.12,7.98,1.89,1.42,0.89,0.22,0.97,2.22,0.22,0.97,2.22,4,4,207.65,60.57,8.57,2.63,1.48,1.48,50
"2024/03/11T22:28:45z","48:3f:da:c9:83:51",7.04,"3.0+OPENLOG+31037 MB+RV3028+BME68X+PMSX003-A+PMSX003-B",79,8,14,868.89,0.01,26264,0,460,0.16,0.41,0.68,0.16,0.41,0.68,2,2,208.55,60.02,10.14,1.68,0.59,0.25,0,0.36,1.19,0,0.36,1.19,1,1,186.81,55.41,5.22,1.58,1.17,0.8,NA
"2024/03/11T22:30:45z","48:3f:da:c9:83:51",7.04,"3.0+OPENLOG+31037 MB+RV3028+BME68X+PMSX003-A+PMSX003-B",78,8,14,868.92,0.01,26264,0,580,0.09,0.45,0.86,0.09,0.45,0.86,2,2,180.72,53.47,7.79,1.1,0.88,0.4,0.02,0.33,0.68,0.02,0.33,0.68,1,1,173.63,46.16,6.6,1.7,0.63,0.4,50
"2024/03/11T22:32:45z","48:3f:da:c9:83:51",7.04,"3.0+OPENLOG+31037 MB+RV3028+BME68X+PMSX003-A+PMSX003-B",78,8,14,868.89,0.01,26264,0,700,0.39,0.78,1.88,0.39,0.78,1.88,3,3,211.47,61.76,7.97,2,1.66,1.42,0.43,1,1.57,0.43,1,1.57,4,4,225.7,69.46,12.25,1.27,0.79,0.57,50
"2024/03/11T22:34:45z","48:3f:da:c9:83:51",7.04,"3.0+OPENLOG+31037 MB+RV3028+BME68X+PMSX003-A+PMSX003-B",79,8,14,868.81,0.01,26264,0,820,0.02,0.53,1.07,0.02,0.53,1.07,2,2,171.21,47.48,8.12,1.62,0.66,0.66,0.24,0.95,1.66,0.24,0.95,1.66,4,4,220.02,64.15,10.51,1.8,1.02,0.73,50
"2024/03/11T22:36:45z","48:3f:da:c9:83:51",7.04,"3.0+OPENLOG+31037 MB+RV3028+BME68X+PMSX003-A+PMSX003-B",79,8,14,868.88,0.01,26264,0,940,0,0.46,0.93,0,0.46,0.93,2,2,170.46,49.5,8.88,1.86,0.59,0.2,0.14,0.76,1.15,0.14,0.76,1.15,3,3,190.88,60.53,8.46,1.86,0.8,0.12,50
"2024/03/11T22:38:45z","48:3f:da:c9:83:51",7.04,"3.0+OPENLOG+31037 MB+RV3028+BME68X+PMSX003-A+PMSX003-B",80,8,14,868.81,0.01,26264,0,1060,0,0.45,0.53,0,0.45,0.53,2,2,172.24,48.64,9.02,1.02,0.24,0.07,0.22,0.76,1.43,0.22,0.76,1.43,3,3,207.21,59.03,7.57,1.74,1.02,0.53,50.11
"2024/03/11T22:40:45z","48:3f:da:c9:83:51",7.04,"3.0+OPENLOG+31037 MB+RV3028+BME68X+PMSX003-A+PMSX003-B",80,8,14,868.79,0.01,26264,0,1180,0.03,0.34,0.88,0.03,0.34,0.88,1,1,160.37,44.42,5.98,1.19,0.98,0.73,0.07,0.46,1.14,0.07,0.46,1.14,2,2,184.61,53.93,8.14,1.93,0.71,0.25,50.58
"2024/03/11T22:42:26z","48:3f:da:c9:83:51",7.04,"3.0+OPENLOG+31037 MB+RV3028+BME68X+PMSX003-A+PMSX003-B",80,8,14,868.81,NA,26352,0,100,0.04,0.48,1.35,0.04,0.48,1.35,2,2,190.89,52.41,6.93,2.24,1.17,1.17,0,0.53,1.42,0,0.53,1.42,2,2,185.79,54.02,8.65,2.93,1.77,0.3,NA
