"time","GC8_PM2_5"
"2024/02/22T22:14:55z",0.24
"2024/02/22T22:16:55z",0.07
"2024/02/22T22:18:55z",0.18
"2024/02/22T22:20:55z",0.18
"2024/02/22T22:22:55z",0.1
"2024/02/22T22:24:55z",0.08
"2024/02/22T22:26:55z",0.07
"2024/02/22T22:28:55z",0
"2024/02/22T22:30:55z",0
"2024/02/22T22:32:55z",0.15
"2024/02/22T22:34:35z",0.31
"2024/02/22T22:36:35z",0.69
"2024/02/22T22:38:35z",0.4
"2024/02/22T22:40:35z",0.18
"2024/02/22T22:42:35z",0
"2024/02/22T22:44:35z",0
"2024/02/22T22:46:35z",0.05
"2024/02/22T22:48:35z",0
"2024/02/22T22:50:35z",0
"2024/02/22T22:52:35z",0.03
"2024/02/22T22:54:15z",0
"2024/02/22T22:56:15z",0.4
"2024/02/22T22:58:15z",0.23
"2024/02/22T23:00:15z",0.34
"2024/02/22T23:02:15z",0
"2024/02/22T23:04:15z",0.34
"2024/02/22T23:06:15z",0.11
"2024/02/22T23:08:15z",0.61
"2024/02/22T23:10:15z",0.08
"2024/02/22T23:12:15z",0
"2024/02/22T23:13:56z",0
"2024/02/22T23:15:56z",0
"2024/02/22T23:17:56z",0.33
"2024/02/22T23:19:56z",0.09
"2024/02/22T23:21:56z",0.16
"2024/02/22T23:23:56z",0.09
"2024/02/22T23:25:56z",0.05
"2024/02/22T23:27:56z",0.07
"2024/02/22T23:29:56z",0.09
"2024/02/22T23:31:56z",0
"2024/02/22T23:33:37z",0
"2024/02/22T23:35:37z",0.1
"2024/02/22T23:37:37z",0.19
"2024/02/22T23:39:37z",0.2
"2024/02/22T23:41:37z",0.14
"2024/02/22T23:43:37z",0.22
"2024/02/22T23:45:37z",0.31
"2024/02/22T23:47:37z",0.09
"2024/02/22T23:49:37z",0.57
"2024/02/22T23:51:37z",0
"2024/02/22T23:53:17z",0.31
"2024/02/22T23:55:17z",0
"2024/02/22T23:57:17z",0.14
"2024/02/22T23:59:17z",0.04
"2024/02/23T00:01:17z",0.08
"2024/02/23T00:03:17z",0
"2024/02/23T00:05:17z",0
"2024/02/23T00:07:17z",0.04
"2024/02/23T00:09:17z",0.18
"2024/02/23T00:11:17z",0
"2024/02/23T00:12:57z",0
"2024/02/23T00:14:57z",0.03
"2024/02/23T00:16:57z",0
"2024/02/23T00:18:57z",0
"2024/02/23T00:20:57z",0.08
"2024/02/23T00:22:57z",0.53
"2024/02/23T00:24:57z",0.43
"2024/02/23T00:26:57z",0
"2024/02/23T00:28:57z",0.19
"2024/02/23T00:30:57z",0
"2024/02/23T00:32:38z",0.13
"2024/02/23T00:34:38z",0.05
"2024/02/23T00:36:38z",0.05
"2024/02/23T00:38:38z",0.18
"2024/02/23T00:40:38z",0.25
"2024/02/23T00:42:38z",0.17
"2024/02/23T00:44:38z",0
"2024/02/23T00:46:38z",0
"2024/02/23T00:48:38z",0.14
"2024/02/23T00:50:38z",0.08
"2024/02/23T00:52:18z",0.33
"2024/02/23T00:54:18z",0.29
"2024/02/23T00:56:18z",0.58
"2024/02/23T00:58:18z",0.27
"2024/02/23T01:00:18z",0.95
"2024/02/23T01:02:18z",4.1
"2024/02/23T01:04:18z",1.09
"2024/02/23T01:06:18z",0.54
"2024/02/23T01:08:18z",0.05
"2024/02/23T01:10:18z",0
"2024/02/23T01:11:58z",0.04
"2024/02/23T01:13:58z",0.09
"2024/02/23T01:15:58z",0.44
"2024/02/23T01:17:58z",0.39
"2024/02/23T01:19:58z",0.29
"2024/02/23T01:21:58z",0.34
"2024/02/23T01:23:58z",0.33
"2024/02/23T01:25:58z",0.04
"2024/02/23T01:27:58z",0.72
"2024/02/23T01:29:58z",0.64
"2024/02/23T01:31:39z",0.56
"2024/02/23T01:33:39z",0.46
"2024/02/23T01:35:39z",0.24
"2024/02/23T01:37:39z",0.74
"2024/02/23T01:39:39z",0.78
"2024/02/23T01:41:39z",1.32
"2024/02/23T01:43:39z",2.26
"2024/02/23T01:45:39z",3.23
"2024/02/23T01:47:39z",3.34
"2024/02/23T01:49:39z",3.6
"2024/02/23T01:51:19z",2.62
"2024/02/23T01:53:19z",2.16
"2024/02/23T01:55:19z",0.86
"2024/02/23T01:57:19z",0.42
"2024/02/23T01:59:19z",0.51
"2024/02/23T02:01:19z",0.83
