"time","GC4_PM2_5"
"2024/03/11T22:22:45z",0.18
"2024/03/11T22:24:45z",0.72
"2024/03/11T22:26:44z",0.6
"2024/03/11T22:28:44z",0.41
"2024/03/11T22:30:44z",0.36
"2024/03/11T22:32:44z",0.31
"2024/03/11T22:34:44z",0.31
"2024/03/11T22:36:44z",0.34
"2024/03/11T22:38:44z",0.6
"2024/03/11T22:40:44z",0.42
"2024/03/11T22:42:25z",0.39
"2024/03/11T22:44:25z",0.36
"2024/03/11T22:46:25z",0.53
"2024/03/11T22:48:25z",0.18
"2024/03/11T22:50:25z",0.5
"2024/03/11T22:52:25z",0.12
"2024/03/11T22:54:25z",0.4
"2024/03/11T22:56:25z",0.19
"2024/03/11T22:58:25z",0.29
"2024/03/11T23:00:25z",0.41
"2024/03/11T23:02:06z",1
"2024/03/11T23:04:06z",0.46
"2024/03/11T23:06:06z",0.19
"2024/03/11T23:08:06z",0.7
"2024/03/11T23:10:06z",0.4
"2024/03/11T23:12:06z",0.8
"2024/03/11T23:14:06z",0.47
"2024/03/11T23:16:06z",0.55
"2024/03/11T23:18:06z",0.86
"2024/03/11T23:20:06z",0.56
"2024/03/11T23:21:46z",0.65
"2024/03/11T23:23:46z",0.71
"2024/03/11T23:25:46z",0.83
"2024/03/11T23:27:46z",0.5
"2024/03/11T23:29:46z",0.58
"2024/03/11T23:31:46z",1.05
"2024/03/11T23:33:46z",0.54
"2024/03/11T23:35:46z",1
"2024/03/11T23:37:46z",1.24
"2024/03/11T23:39:46z",0.9
"2024/03/11T23:41:27z",0.91
"2024/03/11T23:43:27z",0.69
"2024/03/11T23:45:27z",0.81
"2024/03/11T23:47:27z",0.61
"2024/03/11T23:49:27z",1.08
"2024/03/11T23:51:27z",0.97
"2024/03/11T23:53:27z",1.14
"2024/03/11T23:55:27z",1.55
"2024/03/11T23:57:27z",1.36
"2024/03/11T23:59:27z",0.62
"2024/03/12T00:01:08z",0.89
"2024/03/12T00:03:08z",1.24
"2024/03/12T00:05:08z",0.88
"2024/03/12T00:07:08z",1.27
"2024/03/12T00:09:08z",1.17
"2024/03/12T00:11:08z",0.9
"2024/03/12T00:13:08z",1
"2024/03/12T00:15:08z",1.02
"2024/03/12T00:17:08z",1.05
"2024/03/12T00:19:08z",0.71
"2024/03/12T00:20:48z",1.11
"2024/03/12T00:22:48z",1.14
"2024/03/12T00:24:48z",0.62
"2024/03/12T00:26:48z",0.89
"2024/03/12T00:28:48z",0.47
"2024/03/12T00:30:48z",1.02
"2024/03/12T00:32:48z",1.52
"2024/03/12T00:34:48z",1.18
"2024/03/12T00:36:48z",1.28
"2024/03/12T00:38:48z",1.12
"2024/03/12T00:40:28z",1.56
"2024/03/12T00:42:28z",1.2
"2024/03/12T00:44:28z",0.89
"2024/03/12T00:46:28z",1.35
"2024/03/12T00:48:28z",1.49
"2024/03/12T00:50:28z",1.36
"2024/03/12T00:52:28z",1.25
"2024/03/12T00:54:28z",1.5
"2024/03/12T00:56:28z",0.79
"2024/03/12T00:58:28z",1.22
"2024/03/12T01:00:10z",1.41
"2024/03/12T01:02:10z",1.9
"2024/03/12T01:04:10z",1.74
"2024/03/12T01:06:10z",1.53
"2024/03/12T01:08:10z",1.85
"2024/03/12T01:10:10z",1.23
"2024/03/12T01:12:10z",1.44
"2024/03/12T01:14:10z",1.55
"2024/03/12T01:16:10z",0.69
"2024/03/12T01:18:10z",0.89
"2024/03/12T01:19:50z",1.58
"2024/03/12T01:21:50z",0.86
"2024/03/12T01:23:50z",0.63
"2024/03/12T01:25:50z",1.63
"2024/03/12T01:27:50z",1.31
"2024/03/12T01:29:50z",2.17
"2024/03/12T01:31:50z",1.59
"2024/03/12T01:33:50z",1.91
"2024/03/12T01:35:50z",1.81
"2024/03/12T01:37:50z",2.36
"2024/03/12T01:39:31z",2.69
"2024/03/12T01:41:31z",1.75
"2024/03/12T01:43:31z",0.72
"2024/03/12T01:45:31z",1.59
"2024/03/12T01:47:31z",1.84
"2024/03/12T01:49:31z",1.53
"2024/03/12T01:51:31z",2.62
"2024/03/12T01:53:31z",1.72
"2024/03/12T01:55:31z",2.26
"2024/03/12T01:57:31z",2.59
"2024/03/12T01:59:11z",2.89
"2024/03/12T02:01:11z",2.36
"2024/03/12T02:03:11z",2.36
"2024/03/12T02:05:11z",1.51
"2024/03/12T02:07:11z",1.37
"2024/03/12T02:09:11z",1.27
"2024/03/12T02:11:11z",1.39
"2024/03/12T02:13:11z",0.66
"2024/03/12T02:15:11z",1.07
"2024/03/12T02:17:11z",1.72
"2024/03/12T02:18:52z",3.56
"2024/03/12T02:20:52z",2.6
"2024/03/12T02:22:52z",2.86
