"time","GC6_PM2_5"
"2024/03/11T22:22:47z",1.89
"2024/03/11T22:24:47z",1
"2024/03/11T22:26:47z",0.18
"2024/03/11T22:28:47z",0.11
"2024/03/11T22:30:47z",0.26
"2024/03/11T22:32:47z",0.68
"2024/03/11T22:34:47z",0.64
"2024/03/11T22:36:47z",0.18
"2024/03/11T22:38:47z",0.67
"2024/03/11T22:40:47z",0.51
"2024/03/11T22:42:27z",0.21
"2024/03/11T22:44:27z",0.71
"2024/03/11T22:46:27z",0.61
"2024/03/11T22:48:27z",0.68
"2024/03/11T22:50:27z",0.39
"2024/03/11T22:52:27z",0.41
"2024/03/11T22:54:27z",0.25
"2024/03/11T22:56:27z",0.39
"2024/03/11T22:58:27z",0.17
"2024/03/11T23:00:27z",0.37
"2024/03/11T23:02:08z",0.33
"2024/03/11T23:04:08z",0.32
"2024/03/11T23:06:08z",0.25
"2024/03/11T23:08:08z",0.34
"2024/03/11T23:10:08z",0.47
"2024/03/11T23:12:08z",0.53
"2024/03/11T23:14:08z",0.49
"2024/03/11T23:16:08z",0.89
"2024/03/11T23:18:08z",0.69
"2024/03/11T23:20:08z",0.7
"2024/03/11T23:21:49z",1.02
"2024/03/11T23:23:49z",0.81
"2024/03/11T23:25:49z",0.98
"2024/03/11T23:27:49z",0.52
"2024/03/11T23:29:49z",0.69
"2024/03/11T23:31:49z",1
"2024/03/11T23:33:49z",0.38
"2024/03/11T23:35:49z",0.84
"2024/03/11T23:37:49z",1.52
"2024/03/11T23:39:49z",1.02
"2024/03/11T23:41:30z",1.56
"2024/03/11T23:43:30z",1.36
"2024/03/11T23:45:30z",0.89
"2024/03/11T23:47:30z",1.2
"2024/03/11T23:49:30z",1.27
"2024/03/11T23:51:30z",1.07
"2024/03/11T23:53:30z",0.88
"2024/03/11T23:55:30z",1
"2024/03/11T23:57:30z",1.36
"2024/03/11T23:59:30z",1.17
"2024/03/12T00:01:11z",1
"2024/03/12T00:03:11z",1.66
"2024/03/12T00:05:11z",1.02
"2024/03/12T00:07:11z",1.34
"2024/03/12T00:09:11z",1.27
"2024/03/12T00:11:11z",1.37
"2024/03/12T00:13:11z",1.33
"2024/03/12T00:15:11z",1.49
"2024/03/12T00:17:11z",1.08
"2024/03/12T00:19:11z",1.07
"2024/03/12T00:20:51z",0.93
"2024/03/12T00:22:51z",1.4
"2024/03/12T00:24:51z",1.14
"2024/03/12T00:26:51z",1.21
"2024/03/12T00:28:51z",1.32
"2024/03/12T00:30:51z",1.24
"2024/03/12T00:32:51z",1.25
"2024/03/12T00:34:51z",0.98
"2024/03/12T00:36:51z",1.58
"2024/03/12T00:38:51z",1.61
"2024/03/12T00:40:32z",1.61
"2024/03/12T00:42:32z",1.46
"2024/03/12T00:44:32z",0.66
"2024/03/12T00:46:32z",1.25
"2024/03/12T00:48:32z",1
"2024/03/12T00:50:32z",1.1
"2024/03/12T00:52:32z",1.4
"2024/03/12T00:54:32z",1.57
"2024/03/12T00:56:32z",1.71
"2024/03/12T00:58:32z",1.22
"2024/03/12T01:00:13z",0.91
"2024/03/12T01:02:13z",1.86
"2024/03/12T01:04:13z",1.44
"2024/03/12T01:06:13z",0.86
"2024/03/12T01:08:13z",2.25
"2024/03/12T01:10:13z",1.15
"2024/03/12T01:12:13z",0.98
"2024/03/12T01:14:13z",1.47
"2024/03/12T01:16:13z",1.19
"2024/03/12T01:18:13z",1.24
"2024/03/12T01:19:53z",1.48
"2024/03/12T01:21:53z",1.8
"2024/03/12T01:23:53z",1.72
"2024/03/12T01:25:53z",1.5
"2024/03/12T01:27:53z",2.16
"2024/03/12T01:29:53z",1.58
"2024/03/12T01:31:53z",1.39
"2024/03/12T01:33:53z",2.54
"2024/03/12T01:35:53z",1.88
"2024/03/12T01:37:53z",1.43
"2024/03/12T01:39:34z",2.2
"2024/03/12T01:41:34z",1.92
"2024/03/12T01:43:34z",1.16
"2024/03/12T01:45:34z",1.26
"2024/03/12T01:47:34z",1.69
"2024/03/12T01:49:34z",1.19
"2024/03/12T01:51:34z",1.64
"2024/03/12T01:53:34z",2.07
