"time","GC3_PM2_5"
"2024/02/22T22:14:46z",0.7
"2024/02/22T22:16:46z",0.48
"2024/02/22T22:18:46z",0.04
"2024/02/22T22:20:46z",0
"2024/02/22T22:22:46z",0
"2024/02/22T22:24:46z",0
"2024/02/22T22:26:46z",0
"2024/02/22T22:28:46z",0
"2024/02/22T22:30:46z",0
"2024/02/22T22:32:46z",0.07
"2024/02/22T22:34:27z",0
"2024/02/22T22:36:27z",0.33
"2024/02/22T22:38:27z",0.25
"2024/02/22T22:40:27z",0
"2024/02/22T22:42:27z",0
"2024/02/22T22:44:27z",0
"2024/02/22T22:46:27z",0
"2024/02/22T22:48:27z",0
"2024/02/22T22:50:27z",0.16
"2024/02/22T22:52:27z",0.08
"2024/02/22T22:54:08z",0
"2024/02/22T22:56:08z",0
"2024/02/22T22:58:08z",0.09
"2024/02/22T23:00:08z",0
"2024/02/22T23:02:08z",0
"2024/02/22T23:04:08z",0
"2024/02/22T23:06:08z",0.14
"2024/02/22T23:08:08z",0.27
"2024/02/22T23:10:08z",0
"2024/02/22T23:12:08z",0
"2024/02/22T23:13:48z",0
"2024/02/22T23:15:48z",0.19
"2024/02/22T23:17:48z",0.14
"2024/02/22T23:19:48z",0
"2024/02/22T23:21:48z",0.03
"2024/02/22T23:23:48z",0.05
"2024/02/22T23:25:48z",0
"2024/02/22T23:27:48z",0
"2024/02/22T23:29:48z",0
"2024/02/22T23:31:48z",0.03
"2024/02/22T23:33:29z",0
"2024/02/22T23:35:29z",0
"2024/02/22T23:37:29z",0
"2024/02/22T23:39:29z",0.21
"2024/02/22T23:41:29z",0
"2024/02/22T23:43:29z",0
"2024/02/22T23:45:29z",0
"2024/02/22T23:47:29z",0
"2024/02/22T23:49:29z",0
"2024/02/22T23:51:29z",0
"2024/02/22T23:53:09z",0
"2024/02/22T23:55:09z",0
"2024/02/22T23:57:09z",0
"2024/02/22T23:59:09z",0
"2024/02/23T00:01:09z",0
"2024/02/23T00:03:09z",0
"2024/02/23T00:05:09z",0
"2024/02/23T00:07:09z",0
"2024/02/23T00:09:09z",0
"2024/02/23T00:11:09z",0
"2024/02/23T00:12:50z",0
"2024/02/23T00:14:50z",0
"2024/02/23T00:16:50z",0
"2024/02/23T00:18:50z",0
"2024/02/23T00:20:50z",0.03
"2024/02/23T00:22:50z",0
"2024/02/23T00:24:50z",0
"2024/02/23T00:26:50z",0
"2024/02/23T00:28:50z",0
"2024/02/23T00:30:50z",0
"2024/02/23T00:32:30z",0
"2024/02/23T00:34:30z",0
"2024/02/23T00:36:30z",0
"2024/02/23T00:38:30z",0
"2024/02/23T00:40:30z",0
"2024/02/23T00:42:30z",0
"2024/02/23T00:44:30z",0
"2024/02/23T00:46:30z",0
"2024/02/23T00:48:30z",0.04
"2024/02/23T00:50:30z",0.39
"2024/02/23T00:52:10z",0.07
"2024/02/23T00:54:10z",0.37
"2024/02/23T00:56:10z",0.03
"2024/02/23T00:58:10z",0.09
"2024/02/23T01:00:10z",0.56
"2024/02/23T01:02:10z",3.95
"2024/02/23T01:04:10z",1.57
"2024/02/23T01:06:10z",0.76
"2024/02/23T01:08:10z",0.26
"2024/02/23T01:10:10z",0.17
"2024/02/23T01:11:51z",0
"2024/02/23T01:13:51z",0.31
"2024/02/23T01:15:51z",0
"2024/02/23T01:17:51z",0
"2024/02/23T01:19:51z",0
"2024/02/23T01:21:51z",0.08
"2024/02/23T01:23:51z",0
"2024/02/23T01:25:51z",0
"2024/02/23T01:27:51z",0.5
"2024/02/23T01:29:51z",0.68
"2024/02/23T01:31:31z",0.24
"2024/02/23T01:33:31z",0.31
"2024/02/23T01:35:31z",0.63
"2024/02/23T01:37:31z",0.38
"2024/02/23T01:39:31z",0.54
"2024/02/23T01:41:31z",0.86
"2024/02/23T01:43:31z",2.12
"2024/02/23T01:45:31z",2.78
"2024/02/23T01:47:31z",2.95
"2024/02/23T01:49:31z",2.98
"2024/02/23T01:51:12z",2.22
"2024/02/23T01:53:12z",2.39
"2024/02/23T01:55:12z",1.07
"2024/02/23T01:57:12z",0.88
"2024/02/23T01:59:12z",0.21
"2024/02/23T02:01:12z",0.8
"2024/02/23T02:03:12z",0.78
"2024/02/23T02:05:12z",0.26
"2024/02/23T02:07:12z",0.6
"2024/02/23T02:09:12z",0.41
"2024/02/23T02:10:52z",0.11
"2024/02/23T02:12:52z",0.13
"2024/02/23T02:14:52z",0.45
"2024/02/23T02:16:52z",0.52
"2024/02/23T02:18:52z",0.19
"2024/02/23T02:20:52z",0.37
"2024/02/23T02:22:52z",0.63
"2024/02/23T02:24:52z",0.32
"2024/02/23T02:26:52z",0.23
"2024/02/23T02:28:52z",0
"2024/02/23T02:30:33z",0.5
"2024/02/23T02:32:33z",0.14
"2024/02/23T02:34:33z",0
"2024/02/23T02:36:33z",0.02
"2024/02/23T02:38:33z",0.53
"2024/02/23T02:40:33z",0.97
"2024/02/23T02:42:33z",1.04
"2024/02/23T02:44:33z",0.8
"2024/02/23T02:46:33z",0.76
"2024/02/23T02:48:33z",1.12
"2024/02/23T02:50:13z",1.11
"2024/02/23T02:52:13z",0.91
"2024/02/23T02:54:13z",1
"2024/02/23T02:56:13z",0.65
"2024/02/23T02:58:13z",0.61
"2024/02/23T03:00:13z",0.91
"2024/02/23T03:02:13z",1.45
"2024/02/23T03:04:13z",2.23
"2024/02/23T03:06:13z",2.14
"2024/02/23T03:08:13z",3.58
"2024/02/23T03:09:54z",1.09
"2024/02/23T03:11:54z",0.61
"2024/02/23T03:13:54z",0.89
"2024/02/23T03:15:54z",0.38
"2024/02/23T03:17:54z",0.64
"2024/02/23T03:19:54z",0.9
"2024/02/23T03:21:54z",0.21
"2024/02/23T03:23:54z",0.77
"2024/02/23T03:25:54z",0.24
"2024/02/23T03:27:54z",1.41
"2024/02/23T03:29:35z",2.2
"2024/02/23T03:31:35z",1.26
"2024/02/23T03:33:35z",1
"2024/02/23T03:35:35z",0.32
"2024/02/23T03:37:35z",0.81
"2024/02/23T03:39:35z",1.3
