,GC-1,GC-2,GC-3,GC-4,GC-5,GC-6,GC-7,GC-8
81,0.812,0.4579999999999999,0.241,0.095,0.8009999999999999,0.17,0.47,1.1789999999999998
82,0.934,0.452,0.144,0.102,0.907,0.111,0.4499999999999999,1.143
83,0.986,0.541,0.1709999999999999,0.016,0.696,0.209,0.403,0.957
84,1.4489999999999998,0.79,0.098,0.0559999999999999,0.5730000000000001,0.155,0.225,0.876
85,0.966,0.5549999999999999,0.173,0.247,0.7310000000000001,0.061,0.176,0.625
86,0.771,0.373,0.119,0.077,0.673,0.114,0.265,0.632
87,0.922,0.403,0.211,0.037,0.867,0.152,0.145,0.391
88,0.963,0.587,0.139,0.053,0.755,0.147,0.245,0.4629999999999999
89,0.906,0.417,0.318,0.055,0.926,0.102,0.128,0.182
90,0.595,0.312,0.396,0.045,0.954,0.102,0.245,0.283
91,0.363,0.113,0.536,0.016,0.905,0.151,0.209,0.141
92,0.496,0.355,0.272,0.0,0.602,0.088,0.211,0.0579999999999999
93,0.678,0.563,0.334,0.0,0.651,0.113,0.1619999999999999,0.077
94,0.334,0.38,0.267,0.065,0.508,0.097,0.098,0.162
95,0.189,0.388,1.017,0.041,0.46,0.031,0.102,0.16
96,0.209,0.305,0.383,0.026,0.429,0.111,0.252,0.227
97,0.153,0.2309999999999999,0.5425,0.065,0.495,0.008,0.314,0.104
98,0.182,0.334,0.418,0.059,0.93,0.072,0.358,0.196
99,0.21,0.31,0.1525,0.121,0.863,0.079,0.175,0.115
100,0.255,0.3339999999999999,0.3435,0.06,0.748,0.081,0.285,0.258
101,0.17,0.429,0.39,0.013,0.443,0.05,0.359,0.251
102,0.259,0.219,0.128,0.002,0.355,0.663,0.309,0.192
103,0.437,0.276,0.254,0.018,0.395,0.987,0.3359999999999999,0.117
104,1.03,0.155,0.1925,0.004,0.488,1.014,0.245,0.284
105,0.696,0.1709999999999999,0.5165,0.0,0.567,0.877,0.191,0.243
106,0.7010000000000001,0.181,0.242,0.0,0.474,0.797,0.29,0.233
107,0.459,0.104,0.3165,0.0139999999999999,0.366,0.75,0.21,0.246
108,0.3359999999999999,0.188,0.278,0.023,0.431,0.59,0.198,0.151
109,0.4449999999999999,0.115,0.202,0.0,0.473,0.538,0.25,0.214
110,1.036,0.21,0.2309999999999999,0.0,0.3399999999999999,0.365,0.1169999999999999,0.271
111,2.944,0.179,0.132,0.014,0.504,0.395,0.212,0.214
112,1.705,0.188,0.5900000000000001,0.0,0.418,0.388,0.153,0.212
113,2.656,0.212,0.254,0.002,0.564,0.414,0.225,0.231
114,1.951,0.185,0.199,0.0,0.605,0.434,0.074,0.142
115,1.285,0.4559999999999999,0.074,0.003,0.656,0.281,0.0549999999999999,0.087
116,1.188,0.525,0.269,0.0,0.662,0.336,0.181,0.193
117,2.192,0.51,0.267,0.0,0.8665,0.332,0.157,0.172
118,1.634,0.211,0.277,0.027,0.6255,0.131,0.221,0.04
119,1.416,0.287,0.153,0.067,0.8280000000000001,0.297,0.281,0.131
120,2.406,0.456,0.074,0.012,0.656,0.315,0.286,0.158
121,2.044,0.24,0.094,0.004,0.5780000000000001,0.226,0.2289999999999999,0.161
122,3.565,0.103,0.1689999999999999,0.0,0.44,0.209,0.2329999999999999,0.157
123,3.4450000000000003,0.105,0.243,0.017,0.519,0.267,0.391,0.116
124,0.119,0.103,0.237,0.037,0.506,0.253,0.401,0.1159999999999999
125,0.09,0.039,0.271,0.0,0.341,0.169,0.31,0.177
126,0.104,0.085,0.175,0.0,0.401,0.194,0.399,0.18
127,0.054,0.089,0.064,0.0,0.466,0.13,0.331,0.25
128,0.019,0.104,0.15,0.017,0.618,0.199,0.288,0.275
129,0.035,0.134,0.2789999999999999,0.0,0.389,0.168,0.2179999999999999,0.241
130,0.0499999999999999,0.086,0.088,0.011,0.437,0.135,0.215,0.218
131,0.002,0.054,0.1169999999999999,0.0,0.36,0.102,0.625,0.219
132,0.046,0.073,0.147,0.05,0.495,0.161,2.152,0.161
133,0.058,0.017,0.135,0.014,0.379,0.166,1.372,0.294
134,0.037,0.0849999999999999,0.239,0.018,0.394,0.094,2.365,0.137
135,0.012,0.0949999999999999,0.225,0.03,0.248,0.12,0.798,0.8400000000000001
136,0.024,0.092,0.389,0.002,0.374,0.083,0.18,1.186
137,0.088,0.1649999999999999,0.182,0.0,0.311,0.106,0.1699999999999999,0.514
138,0.0209999999999999,0.072,0.356,0.018,0.359,0.076,0.301,3.572
139,0.031,0.055,0.259,0.018,0.256,0.047,0.196,4.241
140,0.032,0.192,0.416,0.0,0.124,0.088,0.243,2.137
141,0.019,0.062,0.533,0.0,0.347,0.0975,0.273,0.029
142,0.071,0.182,0.401,0.03,0.205,0.074,0.169,0.0
143,0.025,0.153,0.606,0.023,0.2,0.084,0.365,0.048
144,0.028,0.151,1.119,0.04,0.2029999999999999,0.104,1.521,0.099
145,0.059,0.19,0.4669999999999999,0.585,0.205,0.019,0.584,0.147
146,0.044,0.181,0.255,0.626,0.317,0.0925,0.408,0.049
147,0.383,0.11,0.464,0.503,0.314,0.331,0.3389999999999999,0.212
148,2.936,0.21,0.516,0.632,0.3329999999999999,0.3125,0.353,0.1164999999999999
149,0.194,0.221,0.471,0.5349999999999999,0.439,0.319,1.386,0.179
150,0.046,0.136,0.194,0.494,0.289,0.202,1.227,0.181
151,0.018,0.108,0.4569999999999999,0.593,0.385,0.315,0.387,0.261
152,0.045,0.27,0.786,0.471,0.3429999999999999,0.3229999999999999,0.654,0.132
153,0.084,0.22,2.336,0.516,0.382,1.733,0.1649999999999999,1.276
154,0.177,0.212,0.218,0.384,0.491,0.859,0.37,0.628
155,0.067,0.173,0.439,0.345,0.426,3.391,0.513,0.407
156,0.306,0.1625,0.268,0.36,0.284,0.15,0.202,0.297
157,0.026,0.199,0.661,0.497,0.419,0.294,0.205,0.388
158,0.075,0.1119999999999999,0.592,0.3409999999999999,0.367,0.211,0.131,1.34
159,0.042,0.099,0.51,0.629,0.3255,0.254,0.139,3.86
160,0.045,0.319,0.496,0.611,0.5115000000000001,0.1089999999999999,0.177,1.146
161,0.098,0.182,1.053,0.4629999999999999,0.6499999999999999,0.2339999999999999,0.132,0.623
162,0.079,0.144,0.518,0.651,0.716,0.177,0.059,0.6679999999999999
