"","timestamp_datetime","GC1_PM2_5","GC2_PM2_5","GC3_PM2_5","GC4_PM2_5","GC5_PM2_5","GC6_PM2_5","GC7_PM2_5","GC8_PM2_5","GC9_PM2_5","GC10_PM2_5"
"81165",2024-02-22 22:32:44,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"81167",2024-02-22 22:32:46,NA,0.08,0.07,NA,NA,NA,NA,NA,NA,NA
"81172",2024-02-22 22:32:51,NA,NA,NA,0.22,NA,NA,NA,NA,NA,NA
"81173",2024-02-22 22:32:52,NA,NA,NA,NA,0.07,NA,NA,NA,NA,NA
"81175",2024-02-22 22:32:54,NA,NA,NA,NA,NA,0,0,NA,NA,NA
"81176",2024-02-22 22:32:55,NA,NA,NA,NA,NA,NA,NA,0.15,NA,NA
"81179",2024-02-22 22:32:58,NA,NA,NA,NA,NA,NA,NA,NA,0.05,0.1
"81265",2024-02-22 22:34:24,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"81267",2024-02-22 22:34:26,NA,0.07,NA,NA,NA,NA,NA,NA,NA,NA
"81268",2024-02-22 22:34:27,NA,NA,0,NA,NA,NA,NA,NA,NA,NA
"81273",2024-02-22 22:34:32,NA,NA,NA,0,0.11,NA,NA,NA,NA,NA
"81275",2024-02-22 22:34:34,NA,NA,NA,NA,NA,0,NA,NA,NA,NA
"81276",2024-02-22 22:34:35,NA,NA,NA,NA,NA,NA,0,0.31,NA,NA
"81279",2024-02-22 22:34:38,NA,NA,NA,NA,NA,NA,NA,NA,0,0.02
"81385",2024-02-22 22:36:24,0.17,NA,NA,NA,NA,NA,NA,NA,NA,NA
"81387",2024-02-22 22:36:26,NA,0.45,NA,NA,NA,NA,NA,NA,NA,NA
"81388",2024-02-22 22:36:27,NA,NA,0.33,NA,NA,NA,NA,NA,NA,NA
"81393",2024-02-22 22:36:32,NA,NA,NA,0.24,0.66,NA,NA,NA,NA,NA
"81395",2024-02-22 22:36:34,NA,NA,NA,NA,NA,0.37,NA,NA,NA,NA
"81396",2024-02-22 22:36:35,NA,NA,NA,NA,NA,NA,0.33,0.69,NA,NA
"81399",2024-02-22 22:36:38,NA,NA,NA,NA,NA,NA,NA,NA,0.17,0.03
"81505",2024-02-22 22:38:24,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"81507",2024-02-22 22:38:26,NA,0,NA,NA,NA,NA,NA,NA,NA,NA
"81508",2024-02-22 22:38:27,NA,NA,0.25,NA,NA,NA,NA,NA,NA,NA
"81513",2024-02-22 22:38:32,NA,NA,NA,0,0.09,NA,NA,NA,NA,NA
"81515",2024-02-22 22:38:34,NA,NA,NA,NA,NA,0,NA,NA,NA,NA
"81516",2024-02-22 22:38:35,NA,NA,NA,NA,NA,NA,0,0.4,NA,NA
"81519",2024-02-22 22:38:38,NA,NA,NA,NA,NA,NA,NA,NA,0,0
"81625",2024-02-22 22:40:24,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"81627",2024-02-22 22:40:26,NA,0,NA,NA,NA,NA,NA,NA,NA,NA
"81628",2024-02-22 22:40:27,NA,NA,0,NA,NA,NA,NA,NA,NA,NA
"81633",2024-02-22 22:40:32,NA,NA,NA,0,0,NA,NA,NA,NA,NA
"81635",2024-02-22 22:40:34,NA,NA,NA,NA,NA,0,NA,NA,NA,NA
"81636",2024-02-22 22:40:35,NA,NA,NA,NA,NA,NA,0.12,0.18,NA,NA
"81639",2024-02-22 22:40:38,NA,NA,NA,NA,NA,NA,NA,NA,0,0
"81745",2024-02-22 22:42:24,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"81747",2024-02-22 22:42:26,NA,0,NA,NA,NA,NA,NA,NA,NA,NA
"81748",2024-02-22 22:42:27,NA,NA,0,NA,NA,NA,NA,NA,NA,NA
"81753",2024-02-22 22:42:32,NA,NA,NA,0,0,NA,NA,NA,NA,NA
"81755",2024-02-22 22:42:34,NA,NA,NA,NA,NA,0,NA,NA,NA,NA
"81756",2024-02-22 22:42:35,NA,NA,NA,NA,NA,NA,0,0,NA,NA
"81759",2024-02-22 22:42:38,NA,NA,NA,NA,NA,NA,NA,NA,0.05,0
