"UTCDateTime","mac_address","firmware_ver","hardware","current_temp_f","current_humidity","current_dewpoint_f","pressure","adc","mem","rssi","uptime","pm1_0_cf_1","pm2_5_cf_1","pm10_0_cf_1","pm1_0_atm","pm2_5_atm","pm10_0_atm","pm2#5_aqi_cf_1","pm2#5_aqi_atm","p_0_3_um","p_0_5_um","p_1_0_um","p_2_5_um","p_5_0_um","p_10_0_um","pm1_0_cf_1_b","pm2_5_cf_1_b","pm10_0_cf_1_b","pm1_0_atm_b","pm2_5_atm_b","pm10_0_atm_b","pm2#5_aqi_cf_1_b","pm2#5_aqi_atm_b","p_0_3_um_b","p_0_5_um_b","p_1_0_um_b","p_2_5_um_b","p_5_0_um_b","p_10_0_um_b","gas"
"2024/02/22T22:14:54z","d8:bc:38:84:3f:4f",7.04,"3.0+OPENLOG+31037 MB+RV3028+BME68X+PMSX003-A+PMSX003-B",77,12,21,877.59,NA,26352,0,100,0,0.61,0.7,0,0.61,0.7,3,3,140.39,35.39,5.68,3.16,0.09,0.09,0,0,1.28,0,0,1.28,0,0,131.37,37.23,5.98,3.77,0.65,0.65,NA
"2024/02/22T22:16:54z","d8:bc:38:84:3f:4f",7.04,"3.0+OPENLOG+31037 MB+RV3028+BME68X+PMSX003-A+PMSX003-B",78,11,20,877.57,0.04,26264,0,220,0.05,0.48,0.95,0.05,0.48,0.95,2,2,139.81,40.9,9.29,3.24,0.74,0.74,0,0.09,0.43,0,0.09,0.43,0,0,135.91,37.77,5.12,2.62,0.18,0,50
"2024/02/22T22:18:54z","d8:bc:38:84:3f:4f",7.04,"3.0+OPENLOG+31037 MB+RV3028+BME68X+PMSX003-A+PMSX003-B",79,11,20,877.54,0.04,26264,0,340,0,0,0.11,0,0,0.11,0,0,134.89,35.42,3.32,0.3,0.3,0.3,0,0,0.15,0,0,0.15,0,0,130.32,37.53,2.83,0.2,0.2,0.2,50
"2024/02/22T22:20:54z","d8:bc:38:84:3f:4f",7.04,"3.0+OPENLOG+31037 MB+RV3028+BME68X+PMSX003-A+PMSX003-B",78,10,19,877.43,0.04,26264,0,460,0,0.11,0.34,0,0.11,0.34,0,0,124.55,32.91,4.21,1.14,0.59,0.34,0,0.02,0.25,0,0.02,0.25,0,0,134.65,36.75,4.08,0.73,0.32,0.08,NA
"2024/02/22T22:22:54z","d8:bc:38:84:3f:4f",7.04,"3.0+OPENLOG+31037 MB+RV3028+BME68X+PMSX003-A+PMSX003-B",78,11,19,877.8,0.04,26264,0,580,0,0.12,0.34,0,0.12,0.34,1,1,133.55,38.19,5.84,0.48,0.41,0.16,0,0.07,0.34,0,0.07,0.34,0,0,130.09,36.95,3.81,1.05,0.38,0.17,50
"2024/02/22T22:24:54z","d8:bc:38:84:3f:4f",7.04,"3.0+OPENLOG+31037 MB+RV3028+BME68X+PMSX003-A+PMSX003-B",80,10,20,877.53,0.04,26264,0,700,0,0,0,0,0,0,0,0,119.19,34.02,2.71,0.07,0,0,0,0.2,0.2,0,0.2,0.2,1,1,148.39,40.36,6.09,1.04,0,0,50
"2024/02/22T22:26:54z","d8:bc:38:84:3f:4f",7.04,"3.0+OPENLOG+31037 MB+RV3028+BME68X+PMSX003-A+PMSX003-B",80,10,19,877.57,0.04,26264,0,820,0,0.1,0.25,0,0.1,0.25,0,0,121.73,32.75,5.85,1.95,0.63,0.63,0,0,0.02,0,0,0.02,0,0,106.03,28.22,2.07,0.22,0.17,0,50
"2024/02/22T22:28:54z","d8:bc:38:84:3f:4f",7.04,"3.0+OPENLOG+31037 MB+RV3028+BME68X+PMSX003-A+PMSX003-B",80,10,19,877.56,0.04,26264,0,940,0,0,0.19,0,0,0.19,0,0,104.95,32.6,3.44,0.81,0.3,0.3,0,0.02,0.02,0,0.02,0.02,0,0,122.08,35.2,6.93,0.63,0,0,50
"2024/02/22T22:30:54z","d8:bc:38:84:3f:4f",7.04,"3.0+OPENLOG+31037 MB+RV3028+BME68X+PMSX003-A+PMSX003-B",80,10,19,877.46,0.04,26264,0,1060,0,0,0.24,0,0,0.24,0,0,119.95,32.53,3.69,0.47,0.47,0,0,0,0,0,0,0,0,0,104.53,28.43,3.48,0.24,0.24,0,50
"2024/02/22T22:32:54z","d8:bc:38:84:3f:4f",7.04,"3.0+OPENLOG+31037 MB+RV3028+BME68X+PMSX003-A+PMSX003-B",77,11,18,877.39,0.04,26264,0,1180,0,0,0,0,0,0,0,0,113.84,30.81,2.84,0.69,0.26,0,0,0,0,0,0,0,0,0,119.84,29.8,2.89,0,0,0,50
