"UTCDateTime","mac_address","firmware_ver","hardware","current_temp_f","current_humidity","current_dewpoint_f","pressure","adc","mem","rssi","uptime","pm1_0_cf_1","pm2_5_cf_1","pm10_0_cf_1","pm1_0_atm","pm2_5_atm","pm10_0_atm","pm2#5_aqi_cf_1","pm2#5_aqi_atm","p_0_3_um","p_0_5_um","p_1_0_um","p_2_5_um","p_5_0_um","p_10_0_um","pm1_0_cf_1_b","pm2_5_cf_1_b","pm10_0_cf_1_b","pm1_0_atm_b","pm2_5_atm_b","pm10_0_atm_b","pm2#5_aqi_cf_1_b","pm2#5_aqi_atm_b","p_0_3_um_b","p_0_5_um_b","p_1_0_um_b","p_2_5_um_b","p_5_0_um_b","p_10_0_um_b","gas"
"2024/03/11T22:22:45z","48:3f:da:c9:83:4c",7.04,"3.0+OPENLOG+31037 MB+RV3028+BME68X+PMSX003-A+PMSX003-B",78,9,15,868.86,NA,26352,0,101,0,0.18,2.59,0,0.18,2.59,1,1,195,51.23,12.89,5.95,4.05,0.34,0.16,0.75,3.41,0.16,0.75,3.41,3,3,192.68,56.02,10.93,4.82,4.18,0.77,NA
"2024/03/11T22:24:45z","48:3f:da:c9:83:4c",7.04,"3.0+OPENLOG+31037 MB+RV3028+BME68X+PMSX003-A+PMSX003-B",79,9,15,868.9,0.03,26264,0,221,0.16,0.72,2.64,0.16,0.72,2.64,3,3,220.24,64.83,12.33,4.48,3.38,0.43,0,0.23,2.14,0,0.23,2.14,1,1,209,61.7,11.91,5.02,2.46,0.51,50
"2024/03/11T22:26:44z","48:3f:da:c9:83:4c",7.04,"3.0+OPENLOG+31037 MB+RV3028+BME68X+PMSX003-A+PMSX003-B",79,8,15,868.94,0.03,26264,0,341,0.09,0.6,1.31,0.09,0.6,1.31,3,3,194.48,52.97,11.55,1.97,1,0.74,0.12,0.52,1.07,0.12,0.52,1.07,2,2,205.4,57.4,9.23,2.47,0.97,0.53,50
"2024/03/11T22:28:44z","48:3f:da:c9:83:4c",7.04,"3.0+OPENLOG+31037 MB+RV3028+BME68X+PMSX003-A+PMSX003-B",80,8,14,868.92,0.03,26264,0,461,0,0.41,0.75,0,0.41,0.75,2,2,183.16,48.96,7.75,1.07,0.52,0.3,0.14,0.56,1.22,0.14,0.56,1.22,2,2,203.59,57.08,9.54,2.58,1.41,0.54,NA
"2024/03/11T22:30:44z","48:3f:da:c9:83:4c",7.04,"3.0+OPENLOG+31037 MB+RV3028+BME68X+PMSX003-A+PMSX003-B",79,8,14,868.87,0.03,26264,0,581,0,0.36,1.1,0,0.36,1.1,2,2,150.16,41.43,8.86,1.98,1.05,0.88,0,0.21,0.67,0,0.21,0.67,1,1,174.21,50.11,5.77,1,0.72,0.53,50
"2024/03/11T22:32:44z","48:3f:da:c9:83:4c",7.04,"3.0+OPENLOG+31037 MB+RV3028+BME68X+PMSX003-A+PMSX003-B",79,8,14,868.93,0.03,26264,0,701,0.17,0.31,0.51,0.17,0.31,0.51,1,1,193.98,53.54,4.47,0.83,0.47,0.15,0.12,0.7,1.11,0.12,0.7,1.11,3,3,197.37,58.47,10.26,1.58,0.84,0.35,50
"2024/03/11T22:34:44z","48:3f:da:c9:83:4c",7.04,"3.0+OPENLOG+31037 MB+RV3028+BME68X+PMSX003-A+PMSX003-B",80,8,14,868.89,0.03,26264,0,821,0.09,0.31,1.59,0.09,0.31,1.59,1,1,167.12,49.52,9.41,3.26,1.93,0.83,0,0.47,0.74,0,0.47,0.74,2,2,162.31,46.45,5.62,1.09,0.48,0.29,50
"2024/03/11T22:36:44z","48:3f:da:c9:83:4c",7.04,"3.0+OPENLOG+31037 MB+RV3028+BME68X+PMSX003-A+PMSX003-B",80,8,14,868.87,0.03,26264,0,941,0.14,0.34,0.98,0.14,0.34,0.98,1,1,216.05,59.09,8.88,1.96,0.84,0.36,0,0.14,0.47,0,0.14,0.47,1,1,164.34,45.32,6.81,1.36,0.49,0.44,50
"2024/03/11T22:38:44z","48:3f:da:c9:83:4c",7.04,"3.0+OPENLOG+31037 MB+RV3028+BME68X+PMSX003-A+PMSX003-B",81,8,14,868.88,0.03,26264,0,1061,0.05,0.6,1.24,0.05,0.6,1.24,3,3,208.86,57.86,7.93,1.79,0.91,0.4,0.09,0.14,0.6,0.09,0.14,0.6,1,1,174.72,50.17,4.9,0.86,0.57,0.33,50
"2024/03/11T22:40:44z","48:3f:da:c9:83:4c",7.04,"3.0+OPENLOG+31037 MB+RV3028+BME68X+PMSX003-A+PMSX003-B",81,8,14,868.86,0.03,26264,0,1181,0,0.42,0.78,0,0.42,0.78,2,2,168.31,49.15,6.56,0.98,0.61,0.47,0,0.57,1.46,0,0.57,1.46,2,2,160.77,49.14,9.57,2.07,1.16,0.75,50.03
"2024/03/11T22:42:25z","48:3f:da:c9:83:4c",7.04,"3.0+OPENLOG+31037 MB+RV3028+BME68X+PMSX003-A+PMSX003-B",81,8,14,868.84,NA,26352,0,100,0.02,0.39,0.67,0.02,0.39,0.67,2,2,188.48,48.35,5.87,1.52,0.39,0.28,0.09,0.47,1.35,0.09,0.47,1.35,2,2,189.98,56.35,8.74,1.86,1.28,0.44,NA
"2024/03/11T22:44:25z","48:3f:da:c9:83:4c",7.04,"3.0+OPENLOG+31037 MB+RV3028+BME68X+PMSX003-A+PMSX003-B",80,8,14,868.82,0.03,26264,0,220,0,0.36,0.81,0,0.36,0.81,1,1,152.44,40.22,5.66,1.76,0.97,0.17,0,0.55,1.48,0,0.55,1.48,2,2,163.66,47.29,7.77,2.27,1.41,0.91,50
"2024/03/11T22:46:25z","48:3f:da:c9:83:4c",7.04,"3.0+OPENLOG+31037 MB+RV3028+BME68X+PMSX003-A+PMSX003-B",79,8,13,868.86,0.03,26080,0,340,0.07,0.53,1.03,0.07,0.53,1.03,2,2,172.86,47.26,7.41,1.55,0.71,0.55,0.17,0.66,1.19,0.17,0.66,1.19,3,3,203.54,59.24,5.98,1.2,0.88,0.71,50
