"time","GC8_PM2_5"
"2024/03/11T22:22:46z",0.64
"2024/03/11T22:24:46z",0.4
"2024/03/11T22:26:46z",0.26
"2024/03/11T22:28:46z",0.32
"2024/03/11T22:30:46z",0.37
"2024/03/11T22:32:46z",0.03
"2024/03/11T22:34:46z",0.23
"2024/03/11T22:36:46z",0.48
"2024/03/11T22:38:46z",0.61
"2024/03/11T22:40:46z",0.46
"2024/03/11T22:42:26z",0.41
"2024/03/11T22:44:26z",0.54
"2024/03/11T22:46:26z",0.86
"2024/03/11T22:48:26z",0.38
"2024/03/11T22:50:26z",0.46
"2024/03/11T22:52:26z",0.38
"2024/03/11T22:54:26z",0.24
"2024/03/11T22:56:26z",0.34
"2024/03/11T22:58:26z",0.74
"2024/03/11T23:00:26z",0.78
"2024/03/11T23:02:07z",0.47
"2024/03/11T23:04:07z",0.68
"2024/03/11T23:06:07z",0.21
"2024/03/11T23:08:07z",0.38
"2024/03/11T23:10:07z",0.47
"2024/03/11T23:12:07z",0.77
"2024/03/11T23:14:07z",0.84
"2024/03/11T23:16:07z",0.77
"2024/03/11T23:18:07z",0.41
"2024/03/11T23:20:07z",1
"2024/03/11T23:21:48z",0.87
"2024/03/11T23:23:48z",0.48
"2024/03/11T23:25:48z",0.98
"2024/03/11T23:27:48z",0.53
"2024/03/11T23:29:48z",0.78
"2024/03/11T23:31:48z",0.86
"2024/03/11T23:33:48z",0.69
"2024/03/11T23:35:48z",0.71
"2024/03/11T23:37:48z",0.81
"2024/03/11T23:39:48z",1
"2024/03/11T23:41:28z",1.11
"2024/03/11T23:43:28z",1.05
"2024/03/11T23:45:28z",1.28
"2024/03/11T23:47:28z",1.11
"2024/03/11T23:49:28z",1.09
"2024/03/11T23:51:28z",1.4
"2024/03/11T23:53:28z",0.81
"2024/03/11T23:55:28z",1.07
"2024/03/11T23:57:28z",0.79
"2024/03/11T23:59:28z",0.81
"2024/03/12T00:01:09z",1.36
"2024/03/12T00:03:09z",1.17
"2024/03/12T00:05:09z",1.77
"2024/03/12T00:07:09z",1.11
