UTCDateTime,pm2_5_atm
2024/03/15T00:00:10z,0.21
2024/03/15T00:02:10z,0.07
2024/03/15T00:04:10z,0.02
2024/03/15T00:06:10z,0.12
2024/03/15T00:08:10z,0.34
2024/03/15T00:10:10z,0.1
2024/03/15T00:11:50z,0
2024/03/15T00:13:50z,0
2024/03/15T00:15:50z,0
2024/03/15T00:17:50z,0
2024/03/15T00:19:50z,0
2024/03/15T00:21:50z,0.08
2024/03/15T00:23:50z,0.32
2024/03/15T00:25:50z,0.23
2024/03/15T00:27:50z,0
2024/03/15T00:29:50z,0.07
2024/03/15T00:31:31z,0
2024/03/15T00:33:31z,0
2024/03/15T00:35:31z,0
2024/03/15T00:37:31z,0
2024/03/15T00:39:31z,0.25
2024/03/15T00:41:31z,0
2024/03/15T00:43:31z,0
2024/03/15T00:45:31z,0
2024/03/15T00:47:31z,0.12
2024/03/15T00:49:31z,0
2024/03/15T00:51:11z,0
2024/03/15T00:53:11z,0
2024/03/15T00:55:11z,0
2024/03/15T00:57:11z,0
2024/03/15T00:59:11z,0
2024/03/15T01:01:11z,0
2024/03/15T01:03:11z,0.24
2024/03/15T01:05:11z,0
2024/03/15T01:07:11z,0.03
2024/03/15T01:09:11z,0
2024/03/15T01:10:52z,0
2024/03/15T01:12:52z,0
2024/03/15T01:14:52z,0
2024/03/15T01:16:52z,0
2024/03/15T01:18:52z,0
2024/03/15T01:20:52z,0
2024/03/15T01:22:52z,0
2024/03/15T01:24:52z,0.02
2024/03/15T01:26:52z,0.02
2024/03/15T01:28:52z,0.08
2024/03/15T01:30:33z,0
2024/03/15T01:32:32z,0.17
2024/03/15T01:34:32z,0
2024/03/15T01:36:32z,0
2024/03/15T01:38:32z,0
2024/03/15T01:40:32z,0.08
2024/03/15T01:42:32z,0
2024/03/15T01:44:32z,0
2024/03/15T01:46:32z,0
2024/03/15T01:48:33z,0
2024/03/15T01:50:13z,0
2024/03/15T01:52:13z,0
2024/03/15T01:54:13z,0
2024/03/15T01:56:13z,0
2024/03/15T01:58:13z,0
2024/03/15T02:00:13z,0
2024/03/15T02:02:13z,0
2024/03/15T02:04:13z,0
2024/03/15T02:06:13z,0.05
2024/03/15T02:08:13z,0
2024/03/15T02:09:54z,0
2024/03/15T02:11:54z,0
2024/03/15T02:13:54z,0
2024/03/15T02:15:54z,0
2024/03/15T02:17:54z,0
2024/03/15T02:19:54z,0
2024/03/15T02:21:54z,0
2024/03/15T02:23:54z,0
2024/03/15T02:25:54z,0
2024/03/15T02:27:54z,0
2024/03/15T02:29:35z,0
2024/03/15T02:31:35z,0
2024/03/15T02:33:35z,0
2024/03/15T02:35:35z,0
2024/03/15T02:37:35z,0
2024/03/15T02:39:35z,0
2024/03/15T02:41:35z,0.22
2024/03/15T02:43:35z,0
2024/03/15T02:45:35z,0
2024/03/15T02:47:35z,0
2024/03/15T02:49:15z,0.13
2024/03/15T02:51:15z,0.03
2024/03/15T02:53:15z,0
2024/03/15T02:55:15z,0
2024/03/15T02:57:15z,0
2024/03/15T02:59:15z,0
2024/03/15T03:01:15z,0
2024/03/15T03:03:15z,0.36
2024/03/15T03:05:15z,0.34
2024/03/15T03:07:15z,0.24
2024/03/15T03:08:55z,0
2024/03/15T03:10:55z,0
2024/03/15T03:12:55z,0
2024/03/15T03:14:55z,0
2024/03/15T03:16:55z,0
2024/03/15T03:18:55z,0
2024/03/15T03:20:55z,0.09
2024/03/15T03:22:55z,0
2024/03/15T03:24:55z,0.07
2024/03/15T03:26:55z,0.1
2024/03/15T03:28:36z,0.02
2024/03/15T03:30:36z,0.15
2024/03/15T03:32:36z,0
2024/03/15T03:34:36z,0.19
2024/03/15T03:36:36z,0.09
2024/03/15T03:38:36z,0.02
2024/03/15T03:40:36z,0.3
2024/03/15T03:42:36z,0.12
2024/03/15T03:44:36z,0.09
2024/03/15T03:46:36z,0.1
2024/03/15T03:48:17z,0.71
2024/03/15T03:50:17z,0
2024/03/15T03:52:17z,0.25
2024/03/15T03:54:17z,0.18
2024/03/15T03:56:17z,0.31
2024/03/15T03:58:17z,0.3
2024/03/15T04:00:17z,0.34
2024/03/15T04:02:17z,0
2024/03/15T04:04:17z,0.45
2024/03/15T04:06:17z,0.34
2024/03/15T04:07:57z,0.18
2024/03/15T04:09:57z,0.32
2024/03/15T04:11:57z,0.97
2024/03/15T04:13:57z,1.04
2024/03/15T04:15:57z,0.63
2024/03/15T04:17:57z,0.31
2024/03/15T04:19:57z,0.36
2024/03/15T04:21:57z,0.84
2024/03/15T04:23:57z,0.66
2024/03/15T04:25:57z,0.73
2024/03/15T04:27:38z,0.91
2024/03/15T04:29:38z,0.09
2024/03/15T04:31:38z,0.32
2024/03/15T04:33:38z,0.38
2024/03/15T04:35:38z,0.19
2024/03/15T04:37:38z,0.49
2024/03/15T04:39:38z,0.76
2024/03/15T04:41:38z,0.91
2024/03/15T04:43:38z,0.83
2024/03/15T04:45:38z,0.47
2024/03/15T04:47:19z,0.43
2024/03/15T04:49:19z,0.07
2024/03/15T04:51:19z,0.71
2024/03/15T04:53:19z,0.27
2024/03/15T04:55:19z,0
2024/03/15T04:57:19z,0
2024/03/15T04:59:19z,0
2024/03/15T05:01:19z,0
2024/03/15T05:03:19z,0
2024/03/15T05:05:19z,0
2024/03/15T05:06:59z,0
2024/03/15T05:08:59z,0.17
2024/03/15T05:10:59z,0.21
2024/03/15T05:12:59z,0
2024/03/15T05:14:59z,0
2024/03/15T05:16:59z,0
2024/03/15T05:18:59z,0.1
2024/03/15T05:20:59z,0.04
2024/03/15T05:22:59z,0.16
2024/03/15T05:24:59z,0.22
2024/03/15T05:26:40z,0.22
2024/03/15T05:28:40z,0
2024/03/15T05:30:40z,0.12
2024/03/15T05:32:40z,0.25
2024/03/15T05:34:40z,0.15
2024/03/15T05:36:40z,0.28
2024/03/15T05:38:40z,0.62
2024/03/15T05:40:40z,0.84
2024/03/15T05:42:40z,0.4
2024/03/15T05:44:40z,0.95
2024/03/15T05:46:21z,1.53
2024/03/15T05:48:21z,0.54
2024/03/15T05:50:21z,0.14
2024/03/15T05:52:21z,0.35
2024/03/15T05:54:21z,0.43
2024/03/15T05:56:21z,0.2
2024/03/15T05:58:21z,0.15
2024/03/15T06:00:21z,0.3
2024/03/15T06:02:21z,0.29
2024/03/15T06:04:21z,0.17
2024/03/15T06:06:02z,0
2024/03/15T06:08:02z,0.17
2024/03/15T06:10:02z,0.09
2024/03/15T06:12:02z,0
2024/03/15T06:14:02z,0.32
2024/03/15T06:16:02z,0.1
2024/03/15T06:18:02z,0
2024/03/15T06:20:02z,0.05
2024/03/15T06:22:02z,0.28
2024/03/15T06:24:02z,0.08
2024/03/15T06:25:43z,0
2024/03/15T06:27:43z,0.36
2024/03/15T06:29:43z,0.09
2024/03/15T06:31:43z,0.09
2024/03/15T06:33:43z,0
2024/03/15T06:35:43z,0
2024/03/15T06:37:43z,0.07
2024/03/15T06:39:43z,0.23
2024/03/15T06:41:43z,0.38
2024/03/15T06:43:43z,0.76
2024/03/15T06:45:23z,0.57
2024/03/15T06:47:23z,0.07
2024/03/15T06:49:23z,0.17
2024/03/15T06:51:23z,0.09
2024/03/15T06:53:23z,0.29
2024/03/15T06:55:23z,0.12
2024/03/15T06:57:23z,0.09
2024/03/15T06:59:23z,0
2024/03/15T07:01:23z,0.34
2024/03/15T07:03:23z,0.02
2024/03/15T07:05:04z,0.22
2024/03/15T07:07:04z,0.02
2024/03/15T07:09:04z,0.04
2024/03/15T07:11:04z,0.09
2024/03/15T07:13:04z,0.33
2024/03/15T07:15:04z,0.14
2024/03/15T07:17:04z,0
2024/03/15T07:19:04z,0.23
2024/03/15T07:21:04z,0.12
2024/03/15T07:23:04z,0
2024/03/15T07:24:45z,0
2024/03/15T07:26:45z,0.14
2024/03/15T07:28:45z,0.16
2024/03/15T07:30:45z,0
2024/03/15T07:32:45z,0
2024/03/15T07:34:45z,0.09
2024/03/15T07:36:45z,0.24
2024/03/15T07:38:45z,0
2024/03/15T07:40:45z,0.16
2024/03/15T07:42:45z,0.15
2024/03/15T07:44:26z,0
2024/03/15T07:46:26z,0.22
2024/03/15T07:48:26z,0.25
2024/03/15T07:50:26z,0.09
2024/03/15T07:52:26z,0.34
2024/03/15T07:54:26z,0
2024/03/15T07:56:26z,0.17
2024/03/15T07:58:26z,0.09
2024/03/15T08:00:26z,0.17
2024/03/15T08:02:26z,0.08
2024/03/15T08:04:06z,0
2024/03/15T08:06:06z,0.31
2024/03/15T08:08:06z,0.14
2024/03/15T08:10:06z,0.23
2024/03/15T08:12:06z,0
2024/03/15T08:14:06z,0.05
2024/03/15T08:16:06z,0
2024/03/15T08:18:06z,0.11
2024/03/15T08:20:06z,0
2024/03/15T08:22:06z,0.1
2024/03/15T08:23:48z,0
2024/03/15T08:25:48z,0
2024/03/15T08:27:48z,0.07
2024/03/15T08:29:48z,0.18
2024/03/15T08:31:48z,0.2
2024/03/15T08:33:48z,0.16
2024/03/15T08:35:48z,0.57
2024/03/15T08:37:48z,0
2024/03/15T08:39:48z,0
2024/03/15T08:41:48z,0.08
2024/03/15T08:43:28z,0
2024/03/15T08:45:28z,0
2024/03/15T08:47:28z,0.46
2024/03/15T08:49:28z,0
2024/03/15T08:51:28z,0.08
2024/03/15T08:53:28z,0.31
2024/03/15T08:55:28z,0.14
2024/03/15T08:57:28z,0.09
2024/03/15T08:59:28z,0.12
2024/03/15T09:01:28z,0.31
2024/03/15T09:03:09z,0.04
2024/03/15T09:05:09z,0.1
2024/03/15T09:07:09z,0
2024/03/15T09:09:09z,0.2
2024/03/15T09:11:09z,0
2024/03/15T09:13:09z,0.31
2024/03/15T09:15:09z,0
2024/03/15T09:17:09z,0
2024/03/15T09:19:09z,0.04
2024/03/15T09:21:09z,0.07
2024/03/15T09:22:50z,0
2024/03/15T09:24:50z,0.25
2024/03/15T09:26:50z,0.17
2024/03/15T09:28:50z,0.21
2024/03/15T09:30:50z,0.21
2024/03/15T09:32:50z,0
2024/03/15T09:34:50z,0
2024/03/15T09:36:50z,0.42
2024/03/15T09:38:50z,0.05
2024/03/15T09:40:50z,0.34
2024/03/15T09:42:31z,0.6
2024/03/15T09:44:31z,0.33
2024/03/15T09:46:31z,0.14
2024/03/15T09:48:31z,0.27
2024/03/15T09:50:31z,0.31
2024/03/15T09:52:31z,0.58
2024/03/15T09:54:31z,0.21
2024/03/15T09:56:31z,0.45
2024/03/15T09:58:31z,0.6
2024/03/15T10:00:31z,0.31
2024/03/15T10:02:12z,0.8
2024/03/15T10:04:12z,0.65
2024/03/15T10:06:12z,2.32
2024/03/15T10:08:12z,2.39
2024/03/15T10:10:12z,2.31
2024/03/15T10:12:12z,3.54
2024/03/15T10:14:12z,5.05
2024/03/15T10:16:12z,5.93
2024/03/15T10:18:12z,5.34
2024/03/15T10:20:12z,7.97
2024/03/15T10:21:52z,8.42
2024/03/15T10:23:52z,7.47
2024/03/15T10:25:52z,7.02
2024/03/15T10:27:52z,9.22
2024/03/15T10:29:52z,8.1
2024/03/15T10:31:52z,7.66
2024/03/15T10:33:52z,8.72
2024/03/15T10:35:52z,10.07
2024/03/15T10:37:52z,13.27
2024/03/15T10:39:52z,12.85
2024/03/15T10:41:32z,13.26
